Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
1000MERCIS;FR0010285965;ALMIL;Euronext Growth Paris;EUR;22.8;22.8;22.5;22.5;16/12/2019;CET;671;15270.2
2CRSI;FR0013341781;2CRSI;Euronext Paris;EUR;4.85;4.86;4.73;4.83;16/12/2019;CET;33566;161222.74
A TOUTE VITESSE;FR0010050773;MLATV;Euronext Access Paris;EUR;1.48;1.48;1.35;1.35;13/11/2019;CET;378;521.87
A.S.T. GROUPE;FR0000076887;ASP;Euronext Paris;EUR;3.23;3.23;3.185;3.195;16/12/2019;CET;4204;13479.145
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;EUR;40.3;40.74;40.25;40.61;16/12/2019;CET;247012;10022805.29
AB INBEV;BE0974293251;ABI;Euronext Brussels;EUR;70.66;71.99;70.52;71.77;16/12/2019;CET;1676623;119862289.82
AB SCIENCE;FR0010557264;AB;Euronext Paris;EUR;5.05;5.17;5.04;5.13;16/12/2019;CET;43656;222951.15
ABATTOIR;BE0946377455;-;Euronext Expert Market;EUR;47.7;47.7;47.7;47.7;24/01/2017;CET;500;23850
ABBEY PLC;IE0000020408;DOY;Euronext Growth Dublin;EUR;13.9;13.9;13.9;13.9;12/12/2019;UTC;1;13.9
ABC ARBITRAGE;FR0004040608;ABCA;Euronext Paris;EUR;6.73;6.74;6.68;6.72;16/12/2019;CET;26695;179239.54
ABEO;FR0013185857;ABEO;Euronext Paris;EUR;17.85;17.9;17.25;17.25;16/12/2019;CET;5651;99179.75
ABIONYX PHARMA;FR0012616852;ABNX;Euronext Paris;EUR;0.348;0.3535;0.3455;0.352;16/12/2019;CET;42037;14710.234
ABIVAX;FR0012333284;ABVX;Euronext Paris;EUR;16.38;17.28;16.06;17.24;16/12/2019;CET;83183;1399325.58
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;EUR;16.285;16.31;16.05;16.135;16/12/2019;CET;2698417;43482800.205
ABO GROUP;BE0974278104;ABO;Euronext Brussels;EUR;2.32;2.32;2.32;2.32;13/12/2019;CET;4;9.28
ACACIA PHARMA;GB00BYWF9Y76;ACPH;Euronext Brussels;EUR;1.78;1.804;1.75;1.792;16/12/2019;CET;124296;221628.716
ACANTHE DEV.;FR0000064602;ACAN;Euronext Paris;EUR;0.469;0.469;0.462;0.467;16/12/2019;CET;26938;12554.34
ACCELL GROUP;NL0009767532;ACCEL;Euronext Amsterdam;EUR;25.05;25.45;25.05;25.15;16/12/2019;CET;9723;244978.8
ACCENTIS;BE0003696102;ACCB;Euronext Brussels;EUR;0.051;0.052;0.05;0.052;16/12/2019;CET;973819;49449.2225
ACCOR;FR0000120404;AC;Euronext Paris;EUR;40.93;41.65;40.93;41.63;16/12/2019;CET;942196;39051914.06
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;EUR;1.1;1.105;1.095;1.095;16/12/2019;CET;67038;73720.2
ACHETER-LOUER.FR;FR0010493510;ALALO;Euronext Growth Paris;EUR;0.0136;0.0152;0.0134;0.0143;16/12/2019;CET;10488449;150117.125
ACKERMANS V.HAAREN;BE0003764785;ACKB;Euronext Brussels;EUR;143;143;140.8;142.2;16/12/2019;CET;40082;5697672.9
ACTEOS;FR0000076861;EOS;Euronext Paris;EUR;1.35;1.35;1.265;1.3;16/12/2019;CET;6847;9056.535
ACTIA GROUP;FR0000076655;ATI;Euronext Paris;EUR;4.17;4.205;4.17;4.175;16/12/2019;CET;3108;13005.575
ACTIPLAY (GROUPE);FR0011038348;ALACT;Euronext Growth Paris;EUR;0.15;0.16;0.138;0.16;16/12/2019;CET;1563;218.96
ACTIVIUM GROUP;FR0010979377;MLACT;Euronext Access Paris;EUR;1.28;1.28;1.28;1.28;10/12/2019;CET;188;240.64
ACVLHO;BE0010012210;-;Euronext Expert Market;EUR;4500.01;4500.01;4500.01;4500.01;07/07/2015;CET;3;13500.03
ADA;FR0000053076;ALADA;Euronext Growth Paris;EUR;10.7;10.9;10.6;10.9;16/12/2019;CET;621;6657
ADC SIIC;BE0974269012;ALDV;Euronext Paris;EUR;0.11;0.11;0.11;0.11;16/12/2019;CET;7000;770
ADEUNIS;FR0013284627;ALARF;Euronext Growth Paris;EUR;3.46;3.48;3.45;3.45;16/12/2019;CET;1995;6884.26
ADL PARTNER;FR0000062978;ALP;Euronext Paris;EUR;14.2;14.25;14.2;14.25;16/12/2019;CET;630;8966
ADOCIA;FR0011184241;ADOC;Euronext Paris;EUR;8.35;8.49;8.34;8.38;16/12/2019;CET;18455;154841.85
ADOMOS;FR0013247244;ALADO;Euronext Growth Paris;EUR;0.617;0.617;0.6;0.604;16/12/2019;CET;15842;9552.597
ADP;FR0010340141;ADP;Euronext Paris;EUR;-;179.1;176.8;177.1;16/12/2019;CET;60645;10750326.5
ADTHINK;FR0010457531;ALADM;Euronext Growth Paris;EUR;0.748;0.758;0.72;0.72;16/12/2019;CET;12430;9208.94
ADUX;FR0012821890;ADUX;Euronext Paris;EUR;1.145;1.145;1.105;1.12;16/12/2019;CET;5811;6543.38
ADUX DS;FR0013461498;ADUDS;Euronext Paris;EUR;0.0001;0.0006;0.0001;0.0001;16/12/2019;CET;25572;4.5577
ADVENIS;FR0004152874;ADV;Euronext Paris;EUR;1.335;1.365;1.3;1.365;16/12/2019;CET;2112;2851.07
ADVICENNE;FR0013296746;ADVIC;Euronext Paris, Brussels;EUR;8.6;9.1;8.5;8.86;16/12/2019;CET;3628;32145.04
ADVINI;FR0000053043;ADVI;Euronext Paris;EUR;26.2;26.4;26.2;26.2;16/12/2019;CET;56;1475.2
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;EUR;702;709.2;701.2;708;16/12/2019;CET;74921;52849883.2
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;109;109.4;107.4;108;16/12/2019;CET;29889;3235952.6
AEGON;NL0000303709;AGN;Euronext Amsterdam;EUR;4.199;4.212;4.178;4.201;16/12/2019;CET;4939310;20711853.608
AERKOMM INC;US00774B2088;AKOM;Euronext Paris;EUR;-;-;-;-;-;CET;-;-
AFONE PARTICIP.;FR0000044612;AFO;Euronext Paris;EUR;13;13;13;13;16/12/2019;CET;1394;18122
AG3I;FR0011908045;MLAGI;Euronext Access Paris;EUR;3.46;3.46;3.46;3.46;08/11/2019;CET;2;6.92
AGARTHA REAL EST;ES0105422002;MLAGA;Euronext Access Paris;EUR;-;-;-;-;-;CET;-;-
AGEAS;BE0974264930;AGS;Euronext Brussels;EUR;54.32;54.5;54.06;54.24;16/12/2019;CET;355532;19261536.2
AGENCE MARIT MINNE;BE0024915838;-;Euronext Expert Market;EUR;-;-;-;-;-;CET;-;-
AGFA-GEVAERT;BE0003755692;AGFB;Euronext Brussels;EUR;4.75;4.784;4.726;4.784;16/12/2019;CET;348354;1658707.644
AGRIPOWER;FR0013452281;ALAGP;Euronext Growth Paris;EUR;10.3;10.9;10.3;10.6;16/12/2019;CET;11573;122227.75
AGROGENERATION;FR0010641449;ALAGR;Euronext Growth Paris;EUR;0.051;0.053;0.0508;0.051;16/12/2019;CET;152657;7891.1882
AGTA RECORD;CH0008853209;AGTA;Euronext Paris;EUR;67.5;69;67.5;69;11/12/2019;CET;277;19072.5
AGUAS DA CURIA;PTCUR0AP0000;CUR;Euronext Access Lisbon;EUR;1.17;1.17;1.17;1.17;07/09/2017;BST;32;37.44
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam, Brussels;EUR;22.56;22.635;22.415;22.55;16/12/2019;CET;3087611;69475076.05
AIB GROUP PLC;IE00BF0L3536;A5G;Euronext Dublin;EUR;3.354;3.356;3.27;3.298;16/12/2019;UTC;5095828;16237012.465
AIR FRANCE -KLM;FR0000031122;AF;Euronext Paris, Amsterdam;EUR;10.605;10.865;10.58;10.6;16/12/2019;CET;2601659;27751387.965
AIR LIQUIDE;FR0000120073;AI;Euronext Paris;EUR;124.05;125.1;124.05;124.75;16/12/2019;CET;688082;85265920.25
