Date;ALMIL.PA;2CRSI.PA;MLATV.PA;ASP.PA;AB.PA;ABCA.PA;ABEO.PA;ABNX.PA;ABVX.PA;ACAN.PA;AC.PA;ALALO.PA;EOS.PA;ATI.PA;ALACT.PA;MLACT.PA;ALADA.PA;ALDV.PA;ALARF.PA;ALP.PA;ADOC.PA;ALADO.PA;ADP.PA;ALADM.PA;ADUX.PA;ADUDS.PA;ADV.PA;ADVI.PA;AKOM.PA;AFO.PA;MLAGI.PA;MLAGA.PA;ALAGP.PA;ALAGR.PA;AGTA.PA;AI.PA;MLAIM.PA;AIR.PA;AKW.PA;ABIO.PA;ALD.PA;ALPHY.PA;CDA.PA;ALM.PA;ALO.PA;LTA.PA;ALTA.PA;AREIT.PA;ATE.PA;ALT.PA;ALTUR.PA;MLALV.PA;MLAAH.PA;AMEBA.PA;AMPLI.PA;AMUN.PA;ALANV.PA;ANVBS.PA;ANTA.PA;ALANT.PA;APR.PA;ALAQU.PA;JXR.PA;ALCUR.PA;MLARD.PA;ARDO.PA;ARG.PA;AKE.PA;ARTE.PA;ALATF.PA;PRC.PA;ARTO.PA;MLAEM.PA;ASY.PA;ATA.PA;ATEME.PA;ATO.PA;AUB.PA;MLAUD.PA;AUGR.PA;ALAMG.PA;AURE.PA;AURS.PA;AVT.PA;AWOX.PA;CS.PA;AXW.PA;MLAZL.PA;MLAAT.PA;BCRA.PA;ALBKK.PA;BAIN.PA;BALYO.PA;BUI.PA;MLBAR.PA;BLC.PA;MLBAT.PA;ALBDM.PA;FBEL.PA;BELI.PA
2019-03-18;28.82;9.94;;4.0563;3.92;5.7;29.06;0.4085;8.96;0.5359;36.89;0.02;1.3129;3.8969;0.96;1.5;9.16;0.086;5.249;13.78;15.28;0.82;171.61;1.15;2.7;;1.405;28.47;;10.42;3.46;;;0.1445;66.76;101.22;4.25;116.36;14.75;20.31;12.42;4.5;23.06;0.36;34.48;15.04;172.59;520.0;94.05;10.01;5.44;0.8052;0.176;2.64;2.98;55.57;1.875;;1.126;6.2666;21.03;6.48;0.2985;7.48;81.0;80.0;51.78;87.75;14.7;2.4;13.5;5565.69;1.65;30.09;0.346;10.92;64.29;28.89;7.7;8.1;0.464;5.6452;30.85;0.124;1.7;21.52;11.2;1.4;0.045;200.0;14.5;47.5;3.69;6.0;;35.6;0.605;1.1;308.82;31.69
2019-03-19;28.23;9.8;;4.1509;3.95;5.75;29.56;0.41;9.0;0.5123;36.87;0.0216;1.308;3.9456;0.936;1.5;9.53;0.086;5.198;13.74;15.26;0.826;172.69;1.2;2.7;;1.445;27.48;;11.01;3.46;;;0.142;66.76;99.98;4.25;116.65;14.91;20.31;12.27;4.49;23.11;0.36;34.16;15.14;172.77;520.0;93.46;9.79;5.459;0.8052;0.177;2.56;2.92;55.93;1.875;;1.126;6.3243;21.03;6.48;0.294;7.45;81.0;80.0;52.56;86.71;14.7;2.41;13.64;5565.69;1.65;29.95;0.348;10.8;64.45;28.89;7.7;8.1;0.485;5.5868;29.89;0.124;1.67;21.57;11.53;1.4;0.045;200.0;14.5;46.2;3.8;6.45;;36.5;0.625;1.0;304.89;31.16
2019-03-20;28.23;9.62;;4.3873;3.84;5.73;29.56;0.407;9.01;0.5241;37.02;0.022;1.2835;3.9164;0.912;1.5;9.71;0.086;5.199;13.92;15.38;0.808;173.86;1.175;2.7;;1.48;27.08;;10.81;3.46;;;0.1465;66.76;99.31;4.1;117.07;15.06;19.87;12.22;4.37;23.25;0.375;34.16;15.14;173.15;520.0;94.15;9.98;5.44;0.8052;0.178;2.495;2.87;55.85;1.875;;1.118;6.3243;21.03;6.52;0.293;7.4;81.0;80.0;52.76;87.37;14.7;2.35;13.38;5565.69;1.65;30.77;0.339;10.9;64.57;29.03;7.7;8.1;0.468;5.5673;29.6;0.1325;1.585;21.5;11.57;1.4;0.045;200.0;14.5;46.1;3.75;6.45;;35.0;0.685;0.96;300.95;30.63
2019-03-21;28.23;9.78;;4.4393;3.83;5.74;29.56;0.41;9.09;0.5143;36.42;0.0216;1.2786;3.8287;0.916;1.5;9.62;0.086;5.05;13.97;14.9;0.816;168.97;1.185;2.7;;1.415;27.08;;11.2;3.46;;;0.145;66.76;100.38;3.1005;116.44;14.91;20.21;12.57;4.39;23.4;0.35;33.96;14.96;172.77;520.0;93.65;10.11;5.459;0.8052;0.179;2.43;2.8;55.22;1.875;;1.11;6.3243;21.03;6.52;0.2935;7.5;128.0;80.0;52.37;86.73;14.7;2.36;13.12;5565.69;1.65;31.65;0.333;10.78;65.06;29.87;7.7;8.1;0.459;5.6257;29.5;0.127;1.65;21.3;11.24;1.4;0.045;200.0;14.48;47.0;3.735;6.4;;35.8;0.75;1.1;291.12;31.5
2019-03-22;28.62;9.68;;4.6804;3.95;5.71;29.56;0.4;8.81;0.5103;36.89;0.0212;1.2786;3.819;0.916;1.5;9.71;0.086;5.199;13.97;14.88;0.808;170.83;1.19;2.7;;1.405;26.29;;11.2;3.46;;;0.146;67.24;100.87;3.1005;117.78;14.61;19.92;12.2;4.39;23.69;0.375;34.13;14.77;172.77;520.0;93.9;10.13;5.4779;0.8052;0.178;2.44;2.77;54.9;1.875;;1.112;6.3435;21.03;6.57;0.288;7.6;140.0;80.0;55.3;87.21;14.7;2.38;13.28;5366.92;1.65;31.65;0.3285;10.5;65.03;29.38;7.7;8.1;0.46;5.5284;29.55;0.129;1.64;21.33;11.22;1.4;0.046;200.0;14.5;47.0;3.735;6.4;;35.05;0.865;1.1;291.12;31.93
2019-03-25;28.72;9.66;;4.8317;3.76;5.65;29.06;0.3985;9.0;0.5162;35.82;0.021;1.2982;3.6241;0.852;1.5;9.62;0.086;5.199;13.97;14.1;0.82;168.0;1.19;2.7;;1.34;26.29;;11.3;3.46;;;0.146;66.76;98.29;3.1205;112.43;13.75;19.82;11.65;4.37;23.44;0.365;33.16;14.72;172.4;520.0;92.52;9.5;5.4021;0.8052;0.177;2.28;2.76;52.71;1.905;;1.12;6.382;21.03;6.57;0.2725;7.75;140.0;80.0;53.73;82.47;14.7;2.37;13.14;5366.92;1.62;31.02;0.3205;10.44;62.91;29.38;7.7;6.6;0.46;5.47;27.92;0.1325;1.64;20.95;10.85;1.4;0.046;200.0;14.5;46.6;3.62;6.4;;33.7;0.88;1.1;291.12;30.73
2019-03-26;29.41;9.82;;4.5102;3.75;5.7;29.65;0.394;8.82;0.5182;35.92;0.021;1.2639;3.6193;0.89;1.5;9.53;0.086;5.199;13.88;13.88;0.812;167.12;1.19;2.7;;1.345;26.29;;11.3;3.46;;;0.1475;66.76;99.53;3.7755;113.28;13.61;19.82;11.55;4.25;22.96;0.355;33.13;14.66;169.23;520.0;91.08;9.39;5.3452;0.8052;0.15;2.2;2.78;51.97;1.905;;1.114;6.1897;21.13;6.57;0.262;7.7;140.0;80.0;55.3;82.0;14.7;2.28;13.2;5366.92;1.62;31.02;0.326;10.44;62.4;29.28;7.7;7.0;0.462;5.47;26.91;0.142;1.6;21.07;11.43;1.4;0.048;200.0;14.5;46.2;3.675;6.0;;31.65;0.88;1.1;291.12;29.57
2019-03-27;29.12;9.76;;4.5906;3.85;5.71;29.65;0.38;8.76;0.5202;35.53;0.0206;1.2786;3.517;0.9;1.5;9.53;0.09;5.199;13.92;13.98;0.82;169.46;1.19;2.7;;1.35;28.27;;11.3;3.46;;;0.151;66.76;100.87;3.8;114.78;13.51;19.92;11.79;4.19;22.96;0.355;33.52;14.58;168.3;540.0;93.51;9.78;5.3642;0.8052;0.151;2.15;2.8;52.79;1.9;;1.098;6.1897;21.03;6.57;0.2705;7.2;140.0;80.0;55.88;82.64;14.7;2.29;13.18;5366.92;1.62;31.06;0.316;10.38;64.23;29.96;7.7;7.0;0.49;5.47;29.31;0.1335;1.58;21.09;10.78;1.4;0.048;200.0;14.5;47.1;3.615;6.0;;33.0;0.7;1.1;275.38;29.62
2019-03-28;29.61;9.64;;4.3542;3.78;5.77;29.95;0.425;8.89;0.5123;35.15;0.021;1.2982;3.5267;0.9;1.5;9.53;0.087;5.198;13.88;13.88;0.818;168.19;1.19;2.7;;1.39;26.09;;11.01;3.46;;;0.157;66.76;100.42;3.8;113.52;14.0;19.87;11.69;4.1;23.11;0.345;33.41;14.58;169.42;550.0;93.26;9.59;5.3642;0.8052;0.151;2.12;2.78;52.62;1.85;;1.104;6.1897;21.13;6.57;0.2665;7.29;140.0;80.0;55.88;82.02;14.7;2.3;13.1;5366.92;1.62;31.11;0.32;10.4;62.36;31.04;7.7;7.0;0.479;5.3921;27.63;0.134;1.57;21.16;10.87;1.4;0.048;200.0;14.5;46.6;3.59;6.55;;33.6;0.57;1.1;285.21;33.62
2019-03-29;30.6;9.7;;4.2833;3.85;5.72;29.65;0.389;8.88;0.5162;34.8;0.0206;1.3129;3.6826;0.988;1.5;9.53;0.087;4.9;13.88;13.88;0.85;166.34;1.24;2.7;;1.31;27.28;;11.2;3.46;;;0.1525;66.76;100.78;4.0;115.31;14.06;20.26;11.74;4.1;23.2;0.332;33.69;14.31;172.21;550.0;94.0;9.67;5.3642;0.8052;0.166;2.145;2.8;52.48;1.85;;1.1;6.1897;21.13;6.57;0.265;7.32;140.0;80.0;58.4;81.91;14.7;2.32;13.4;5366.92;1.62;31.16;0.3185;10.36;62.49;32.31;7.7;7.0;0.468;5.3921;26.91;0.134;1.615;21.06;11.34;1.4;0.048;200.0;14.5;46.7;3.515;6.55;;33.7;0.57;1.1;285.21;31.4
2019-04-01;30.2;9.76;;4.444;3.85;5.79;29.56;0.365;9.0;0.53;35.03;0.021;1.2737;3.7897;0.885;1.5;9.62;0.087;4.85;15.15;13.82;0.834;169.37;1.225;2.7;;1.34;27.28;;11.2;3.46;;;0.1495;66.76;101.13;4.1;117.25;14.22;20.46;11.98;4.1;23.35;0.35;33.8;14.48;172.21;550.0;94.64;9.68;5.3831;0.8052;0.166;2.08;2.8;53.76;1.885;;1.07;6.382;21.03;6.57;0.255;7.29;140.0;80.0;57.0;85.02;14.7;2.26;13.1;5366.92;1.62;31.55;0.31;10.74;64.01;30.16;7.7;7.0;0.49;5.5089;26.52;0.129;1.73;21.32;11.63;1.4;0.048;200.0;14.6;47.1;3.68;6.55;;35.15;0.825;1.2;285.21;30.92
2019-04-02;30.2;9.76;;4.2549;3.93;5.85;29.65;0.34;8.89;0.53;35.43;0.0215;1.308;3.9261;0.99;1.5;9.62;0.087;5.04;15.48;14.24;0.866;169.85;1.17;2.7;;1.295;26.69;;11.4;3.46;;;0.142;66.76;101.27;4.1;116.2;14.47;20.99;12.42;4.1;23.2;0.378;34.3;14.68;170.35;560.0;97.02;9.8;5.44;0.8052;0.166;2.15;2.8;54.8;1.885;;1.075;6.382;21.03;6.57;0.266;7.2;140.0;80.0;58.6;84.95;14.7;2.25;13.36;5366.92;1.62;32.04;0.313;10.6;63.47;30.65;7.7;7.0;0.535;5.4895;26.91;0.1324;1.84;21.38;11.77;1.4;0.048;200.0;14.55;48.0;3.685;6.55;;35.2;0.89;1.2;285.21;30.82
2019-04-03;28.52;9.72;;4.2076;3.97;5.94;30.25;0.3475;8.99;0.5359;36.12;0.0216;1.3227;3.892;0.975;1.5;9.62;0.087;5.04;15.66;14.34;0.842;172.88;1.24;2.7;;1.305;26.69;;11.4;3.46;;;0.147;66.76;101.93;4.1;117.15;14.79;20.65;12.71;4.1;24.27;0.378;35.0;14.67;172.4;560.0;96.82;9.86;5.5537;0.8052;0.166;2.2;2.76;55.66;1.81;;1.03;6.4204;21.13;6.57;0.265;7.28;140.0;80.0;56.8;86.71;14.7;2.25;13.16;5366.92;1.62;32.96;0.311;10.8;64.54;30.45;7.7;7.0;0.523;5.47;27.48;0.135;1.84;21.82;12.11;1.4;0.048;200.0;14.55;47.6;3.98;6.55;;35.6;0.89;1.2;279.31;31.01
2019-04-04;28.23;9.6;;4.0705;3.99;5.99;30.64;0.35;8.87;0.5359;36.41;0.0219;1.3227;3.9651;0.94;1.5;9.62;0.087;5.0;15.29;14.24;0.862;173.37;1.225;2.7;;1.33;26.69;;11.3;3.46;;;0.149;66.76;102.78;4.1;116.99;14.63;20.75;12.9;4.1;24.6;0.374;35.13;14.68;172.03;560.0;96.53;9.83;5.5348;0.805;0.166;2.25;2.75;57.09;1.81;;1.08;6.4204;21.03;6.57;0.2605;7.38;140.0;80.0;56.0;86.77;14.7;2.24;13.18;5366.92;1.62;33.49;0.3112;10.78;64.32;30.45;7.7;7.0;0.503;5.5479;29.21;0.137;1.81;21.93;12.89;1.4;0.048;218.0;14.55;45.7;3.81;6.55;;35.4;0.89;1.2;289.15;30.77
2019-04-05;28.62;9.6;;4.1414;3.88;5.91;31.63;0.3475;8.95;0.5221;36.21;0.0219;1.3178;3.9846;0.94;1.5;9.71;0.089;4.99;15.29;14.0;0.831;175.81;1.23;2.27;;1.325;27.87;;11.11;3.46;;;0.1435;66.76;102.87;4.1;116.36;14.63;20.26;12.65;4.1;24.46;0.376;34.71;14.77;172.4;560.0;95.49;9.69;5.4779;0.8;0.165;2.175;2.75;57.23;1.81;;1.06;6.4781;21.13;6.57;0.266;7.16;140.0;80.0;56.8;87.04;14.3;2.23;13.22;5366.92;1.62;33.88;0.313;10.72;64.44;30.36;7.7;7.0;0.491;5.5284;30.85;0.1318;1.76;22.05;14.0;1.4;0.048;238.0;14.55;45.8;3.75;6.55;;35.45;0.89;1.0;289.15;30.92
2019-04-08;28.72;9.54;;3.9334;3.95;6.02;31.63;0.363;8.9;0.5202;36.11;0.0223;1.3227;3.9554;0.85;1.5;9.62;0.089;5.0;15.19;14.12;0.863;175.81;1.25;2.58;;1.325;26.88;;11.2;3.46;;;0.147;66.76;103.53;4.1;117.23;14.69;20.41;12.74;4.1;24.41;0.316;34.67;14.96;171.28;560.0;95.24;9.77;5.459;0.8;0.165;2.15;2.77;57.42;1.81;;1.05;6.5358;21.13;6.57;0.2675;7.28;140.0;80.0;57.0;87.6;13.8;2.225;13.36;5366.92;1.62;33.49;0.348;10.74;64.2;29.77;7.7;7.0;0.503;5.4895;30.75;0.129;1.74;21.96;13.08;1.4;0.048;200.0;14.55;45.6;3.69;6.55;;35.8;0.89;1.0;287.18;30.53
2019-04-09;28.23;9.36;;3.9051;3.98;6.1;31.73;0.36;9.56;0.526;35.75;0.022;1.2786;3.8969;0.9;1.5;9.71;0.095;5.08;15.19;14.0;0.885;176.5;1.22;2.38;;1.325;26.29;;11.2;3.46;;;0.146;66.76;103.62;4.1;117.15;14.75;20.5;12.32;4.1;24.17;0.33;34.55;15.02;172.21;550.0;95.73;9.72;5.5727;0.8;0.165;2.13;2.76;57.71;1.805;;1.06;6.6895;21.13;6.57;0.27;7.12;140.0;80.0;56.0;86.88;13.8;2.27;13.34;5366.92;1.62;33.88;0.342;10.66;63.15;30.94;7.7;7.0;0.509;5.4895;30.89;0.124;1.76;21.89;12.6;1.4;0.048;202.0;14.55;45.8;3.7;6.45;;36.2;0.89;0.96;285.21;30.05
2019-04-10;27.83;9.3;;3.9003;3.99;6.0;32.03;0.3565;10.48;0.5182;35.49;0.0228;1.2737;3.8774;0.9;1.5;9.62;0.084;5.14;15.1;14.44;0.872;172.2;1.295;2.39;;1.325;27.28;;11.49;3.46;;;0.1485;66.76;103.53;4.1;116.58;14.73;20.41;12.26;4.1;23.98;0.316;34.28;15.06;170.72;550.0;95.49;9.7;5.5916;0.8;0.165;2.135;2.66;56.75;1.805;;1.07;6.6895;21.13;6.57;0.265;7.1;140.0;80.0;54.8;86.01;13.8;2.25;13.3;5366.92;1.62;33.2;0.3418;10.66;61.66;30.5;7.7;7.0;0.527;5.5089;30.03;0.12;1.715;21.85;12.65;1.4;0.048;202.0;14.55;45.2;3.68;6.0;;35.9;0.89;1.09;291.12;30.29
2019-04-11;27.64;9.12;;4.028;4.8;6.07;32.03;0.367;9.9;0.53;35.87;0.0252;1.2933;3.8482;0.9;1.5;9.62;0.084;5.12;15.19;14.34;0.874;172.39;1.295;2.4;;1.36;27.08;;11.59;3.46;;;0.159;66.76;103.4;4.1;115.29;14.73;20.8;12.21;4.1;24.12;0.312;34.56;15.11;170.54;550.0;95.78;9.75;5.5916;0.8;0.165;2.12;2.66;56.9;1.7;;1.065;6.7088;21.13;6.43;0.2735;7.1;140.0;80.0;55.2;85.86;13.8;2.195;13.2;5366.92;1.62;32.96;0.3402;10.5;62.78;30.65;7.7;8.1;0.526;5.5673;30.32;0.1202;1.72;21.88;12.69;1.4;0.048;202.0;14.5;45.5;3.7;6.0;;36.05;0.89;1.09;295.05;30.82
2019-04-12;27.83;9.24;;3.8389;4.6;6.06;33.61;0.37;10.1;0.5005;36.33;0.029;1.259;3.8774;0.9;1.5;9.62;0.084;4.99;15.19;14.24;0.88;173.86;1.27;2.4;;1.335;27.08;;11.59;3.46;;;0.157;66.76;102.64;4.1;115.9;14.97;20.85;12.4;4.1;24.27;0.31;34.73;15.35;172.21;550.0;97.51;9.86;5.6106;0.8;0.165;2.065;2.66;57.47;1.685;;1.06;6.8241;21.13;6.24;0.265;7.1;140.0;80.0;55.2;88.76;13.6;2.24;13.2;5366.92;1.62;33.49;0.3434;10.52;66.35;30.55;7.7;7.6;0.518;5.6063;30.75;0.1216;1.74;21.97;12.89;1.4;0.048;202.0;14.69;45.5;3.835;6.0;;36.4;0.89;1.09;304.89;30.05
2019-04-15;28.72;9.24;;3.9712;4.65;6.06;33.61;0.3685;10.14;0.5084;36.14;0.0252;1.2786;4.082;0.9;1.5;9.62;0.084;4.9;15.19;14.52;0.9;174.74;1.4;2.33;;1.335;26.69;;11.69;3.46;;;0.157;66.76;103.09;4.1;117.78;17.28;20.46;12.61;4.1;24.56;0.318;35.37;15.41;172.4;550.0;97.52;10.29;5.5727;0.8;0.165;2.1;2.7;59.7;1.675;;1.065;7.074;21.13;6.66;0.273;7.12;140.0;80.0;55.8;90.1;13.5;2.335;13.22;5366.92;1.62;34.32;0.345;10.44;67.13;31.04;7.7;7.6;0.52;5.7425;31.71;0.122;1.85;22.02;13.95;1.4;0.048;210.0;14.73;45.5;3.935;6.0;;37.8;0.56;1.09;304.89;30.48
