Date;BEN.PA;ALDBL.PA;BB.PA;BIG.PA;ALBLD.PA;ALTUV.PA;ALCOR.PA;BUP.PA;BIM.PA;ALBPS.PA;ALBIO.PA;BLEE.PA;BLUE.PA;MLBSP.PA;ALBLU.PA;BNP.PA;MLONE.PA;BOI.PA;BOL.PA;BOLNV.PA;BON.PA;BOOST.PA;GBB.PA;ALBOU.PA;BSD.PA;EN.PA;BCAM.PA;ALBUD.PA;BUDBS.PA;BVI.PA;BUR.PA;BND.PA;MLCTA.PA;CAT31.PA;CAFO.PA;MLAAE.PA;CBDG.PA;CAPLI.PA;CAP.PA;ALCRB.PA;ALCAR.PA;CARM.PA;CARP.PA;CA.PA;CO.PA;CAS.PA;CATG.PA;CTRG.PA;CATR.PA;CBOT.PA;MLCEC.PA;CGM.PA;CGR.PA;ALCLS.PA;CLNV.PA;ALPCV.PA;ALCES.PA;CFI.PA;MLCFM.PA;CGG.PA;CGGBS.PA;CGGBT.PA;MLCFD.PA;MLCVG.PA;CRI.PA;CHSR.PA;MLCHE.PA;CDI.PA;CIB.PA;MLCMB.PA;MLCIO.PA;CLA.PA;ALCLA.PA;COM.PA;CNV.PA;CNP.PA;COFA.PA;ALCOF.PA;COGEC.PA;ALCOG.PA;COH.PA;ALCOI.PA;RE.PA;MLCLP.PA;MLMFI.PA;MLCNT.PA;MLCOR.PA;MLCOU.PA;COUR.PA;COV.PA;COVH.PA;CRAP.PA;CRAV.PA;CRBP2.PA;CIV.PA;CRLA.PA;CRLO.PA;CMO.PA;CNF.PA;CCN.PA
2019-03-18;10.42;3.0;73.48;8.63;9.64;3.648;9.2;4.28;72.05;1.41;3.15;50.36;16.7;4.2;4.15;41.54;0.232;50.56;3.7721;;27.55;;2.65;46.49;1.1275;31.12;88.15;3.768;;21.04;888.98;7.45;;122.66;7.4911;7.95;6374.03;28.52;106.22;7.95;22.5;16.35;57.5;16.46;39.04;3.2;2.39;11.89;112.88;3.3842;0.46;25.4;37.02;16.94;1.16;4.6;0.12;0.81;911.91;1.72;;;780.8;4600.0;18.95;7.7;39.6;382.97;0.108;144.68;2.88;7.76;34.9;81.57;3.42;19.8;7.3188;275.88;6.19;5.7;1.6875;7.92;133.2;4.34;16.9;18.4;9.6;30.0;120.0;89.8;25.33;108.94;131.52;26.47;102.02;71.8;88.92;83.5;22.83;137.39
2019-03-19;10.49;3.0;73.12;8.65;9.62;3.6005;9.26;4.28;72.95;1.402;2.89;50.36;16.65;4.0;4.2;42.07;0.232;50.75;3.8213;;27.45;;2.475;46.49;1.1471;31.22;89.92;4.04;;21.05;892.89;7.4;;120.73;7.5391;7.95;6325.37;28.03;105.24;8.06;22.35;16.41;57.5;16.5;36.84;3.21;2.35;11.79;112.88;3.356;0.46;25.5;38.34;17.31;1.158;4.66;0.1115;0.81;911.91;1.737;;;780.8;4600.0;19.38;7.7;39.8;385.76;0.105;144.68;2.88;7.75;34.3;81.76;3.42;19.7;7.401;281.73;6.2;5.75;1.6628;7.9;133.97;4.34;16.9;18.4;9.6;30.0;119.0;89.47;25.33;108.46;132.47;26.46;100.48;76.15;89.41;84.77;22.97;131.88
2019-03-20;10.65;3.0;73.21;8.56;9.62;3.6005;9.26;4.24;73.44;1.418;2.88;50.36;16.8;4.2;4.2;42.12;0.232;50.75;3.9119;;27.8;;2.31;46.49;1.1471;30.74;89.92;3.924;;21.27;896.8;7.34;;122.56;7.4431;7.95;6520.0;28.52;104.35;8.17;22.4;16.37;57.5;16.65;37.79;3.23;2.36;11.74;112.88;3.3654;0.46;25.4;37.97;16.93;1.132;4.62;0.1115;0.81;911.91;1.742;;;780.8;4600.0;19.18;7.7;39.8;382.79;0.106;144.68;2.88;7.685;34.8;81.21;3.42;19.76;7.3005;274.91;6.14;5.85;1.6826;7.91;134.17;4.34;16.9;18.4;9.6;30.0;119.0;89.76;25.24;109.91;133.38;26.5;101.88;75.66;89.41;84.72;22.97;131.88
2019-03-21;10.36;2.94;71.17;8.61;9.62;3.6;9.28;4.294;73.64;1.42;2.88;50.36;16.65;4.2;4.18;40.87;0.232;50.27;3.8194;;26.92;;2.555;46.49;1.1373;30.74;89.92;3.826;;20.96;888.98;7.34;;121.69;7.3951;7.95;6520.0;29.09;104.35;8.09;22.45;16.13;57.5;16.56;37.02;3.22;2.305;11.69;112.88;3.4406;0.46;26.0;37.02;16.47;0.523;4.62;0.1115;0.81;911.91;1.805;;;780.8;4600.0;19.08;7.7;39.8;386.41;0.104;144.68;2.34;7.75;35.1;82.13;3.42;19.36;7.2274;277.83;6.14;5.8;1.7763;7.6;132.24;4.34;16.9;18.4;9.6;30.0;118.0;89.85;25.24;111.73;135.29;26.62;99.34;74.03;90.84;85.21;22.97;135.15
2019-03-22;10.26;3.0;71.35;8.26;9.64;3.6;9.26;4.27;72.95;1.432;2.89;50.36;16.65;4.2;4.18;40.49;0.232;50.56;3.9198;;27.01;;2.445;46.49;1.1471;31.07;89.92;3.72;;21.19;877.26;7.36;;123.59;7.3951;7.95;6520.0;29.86;105.14;8.05;22.4;16.0;57.5;16.67;37.51;3.2;2.305;11.59;108.04;3.4782;0.46;26.1;37.78;16.08;0.5;4.62;0.12;0.955;911.91;1.786;;;780.8;4220.0;18.81;7.7;39.8;383.44;0.104;145.65;2.34;7.745;35.6;81.76;3.42;19.49;7.2548;275.88;6.07;5.85;1.8207;7.92;133.4;4.34;16.9;18.4;9.6;30.0;118.0;91.47;25.14;108.36;133.85;26.59;100.17;73.55;89.87;85.21;22.54;138.08
2019-03-25;9.83;3.0;70.85;8.2;9.6;3.6005;9.28;4.07;72.25;1.406;2.89;50.36;16.7;4.2;4.18;38.65;0.232;50.08;3.841;;25.69;;2.44;46.49;1.1275;30.12;89.92;3.686;;20.47;865.54;7.34;;121.69;7.0109;7.95;6520.0;29.29;100.87;7.95;22.3;15.64;57.5;16.32;36.02;3.19;2.28;11.54;113.85;3.4782;0.46;27.0;37.4;15.52;0.448;4.62;0.1115;0.955;911.91;1.676;;;780.8;4340.0;18.08;7.7;39.8;377.77;0.104;135.94;2.32;7.18;35.9;80.65;3.52;18.97;7.1269;275.88;6.14;5.85;1.8306;7.91;131.47;4.2;16.9;18.4;9.6;30.0;119.0;89.28;25.33;110.9;133.97;26.56;99.32;75.43;92.26;85.21;21.67;139.99
2019-03-26;9.87;3.0;71.35;8.26;9.56;3.594;9.18;4.0795;71.55;1.33;3.07;50.36;16.7;4.2;4.18;38.82;0.232;50.37;3.906;;25.84;;2.445;46.49;1.1373;30.07;89.92;3.9;;20.12;861.63;7.32;;119.8;7.155;7.95;6520.0;29.19;100.18;7.9;22.25;15.66;57.5;16.03;36.36;3.26;2.34;11.99;111.43;3.45;0.46;26.1;37.97;15.51;0.411;4.55;0.13;0.94;945.33;1.714;;;780.8;4340.0;18.09;7.7;39.8;381.95;0.1015;137.88;2.74;7.14;34.5;80.1;3.54;18.85;7.1452;275.88;6.0;5.85;1.8257;7.91;130.32;4.2;16.9;18.4;9.6;30.0;117.0;89.04;25.24;111.6;133.97;26.8;100.09;75.43;93.27;87.66;22.15;139.99
2019-03-27;9.87;3.0;70.94;8.18;9.36;3.6065;9.08;4.079;73.94;1.31;3.08;50.36;16.85;4.2;4.18;38.81;0.232;50.27;3.9198;;25.64;;2.445;46.49;1.1373;30.25;89.92;4.19;;20.45;871.4;7.32;;120.27;7.155;7.95;6520.0;30.92;103.17;7.89;22.3;15.6;57.5;16.04;37.46;3.3;2.305;11.74;111.43;3.4218;0.46;26.0;38.34;15.9;0.401;4.53;0.14;0.94;945.33;1.722;;;780.8;4340.0;18.04;7.7;39.8;383.81;0.104;137.88;2.7;7.48;34.0;80.47;3.48;18.81;7.1269;275.88;6.12;5.9;1.8257;7.92;131.09;4.2;16.9;18.4;9.6;30.0;119.0;89.42;25.14;107.42;135.31;26.93;99.32;75.46;93.66;89.24;22.3;138.08
2019-03-28;10.08;3.0;70.71;8.07;9.38;3.611;9.06;4.06;72.55;1.278;3.13;50.36;16.65;4.2;4.18;39.26;0.232;49.31;3.91;;25.94;;2.5;46.49;1.1471;30.14;89.92;3.97;;20.32;867.49;7.32;;122.31;7.0109;7.95;6520.0;29.77;101.21;8.11;22.3;15.93;57.5;16.2;36.95;3.33;2.3;11.74;111.43;3.4218;0.46;25.5;38.16;15.8;0.37;4.45;0.16;0.94;945.33;1.768;;;780.8;4340.0;18.18;7.7;39.8;386.14;0.104;136.91;2.7;7.27;33.4;81.39;3.48;18.96;7.1543;276.86;5.95;5.9;1.8257;7.89;131.66;4.2;16.9;18.4;9.6;30.0;119.0;89.66;25.52;107.42;133.38;26.99;99.61;72.59;91.53;90.1;22.73;138.06
2019-03-29;10.04;3.0;71.67;8.08;9.4;3.64;8.92;4.12;72.55;1.212;3.13;50.36;16.7;4.15;4.14;39.68;0.232;48.92;3.9316;;25.3;;2.405;46.49;1.1471;30.18;89.92;4.0;;20.53;863.58;7.32;;122.27;7.1069;7.95;6520.0;29.96;105.14;8.26;22.95;15.71;57.5;15.86;36.48;3.33;2.27;11.29;116.27;3.403;0.46;25.8;38.34;16.12;0.167;4.5;0.2;0.94;1031.27;1.8;;;780.8;4340.0;18.08;7.7;39.8;389.02;0.108;136.91;2.7;7.28;32.6;81.21;3.48;18.84;7.1726;277.83;5.99;5.9;1.8454;7.92;131.66;4.2;16.9;18.4;9.6;30.0;117.0;89.85;25.71;107.4;136.29;26.88;99.63;72.59;93.66;90.06;22.92;138.08
2019-04-01;10.26;2.9;72.16;8.36;9.38;3.67;8.95;4.25;73.54;1.034;3.05;50.36;16.7;4.15;4.18;40.2;0.232;50.17;3.9887;;25.89;;2.34;46.49;1.1569;30.4;89.92;4.06;;20.51;842.09;7.32;;119.82;7.1069;7.95;6520.0;30.54;106.91;8.98;23.1;15.73;57.5;16.3;36.83;3.3;2.27;11.05;117.24;3.3936;0.46;25.5;38.72;16.28;0.13;4.34;0.31;0.94;1031.27;1.887;;;780.8;4340.0;18.35;7.7;39.8;399.71;0.107;136.91;2.7;6.92;32.7;81.02;3.5;18.89;7.264;290.5;5.98;6.0;1.8553;7.74;132.05;4.2;16.9;18.4;9.6;30.0;118.0;90.09;25.43;108.36;136.31;26.73;98.19;72.1;91.79;91.08;23.02;139.03
2019-04-02;10.43;2.9;72.53;8.28;9.38;3.67;9.0;4.08;74.84;1.136;3.04;50.36;16.85;4.15;4.18;40.68;0.232;50.17;4.0242;;25.45;;2.36;46.49;1.1471;31.13;89.92;3.86;;20.84;867.49;7.32;;123.63;7.251;5.85;6520.0;30.54;107.6;8.76;23.0;15.89;57.5;16.25;37.79;3.21;2.3;11.15;120.15;3.4218;0.46;26.0;38.91;16.36;0.22;4.26;0.36;0.94;1031.27;1.85;;;780.8;4340.0;18.59;7.7;39.8;402.5;0.108;136.91;2.7;7.03;33.9;80.65;3.56;19.28;7.401;282.7;6.0;5.8;1.8553;7.66;133.59;4.2;16.9;18.4;9.6;30.0;118.0;91.33;25.71;109.33;138.25;26.64;99.14;74.51;93.56;90.11;23.16;138.55
2019-04-03;10.7;2.9;71.71;8.31;9.3;3.66;9.05;4.11;75.73;1.12;3.03;50.36;16.7;4.14;4.18;41.32;0.232;52.48;4.038;;26.28;;2.44;46.49;1.1373;31.32;89.92;3.8;;21.04;867.49;7.3;;122.68;7.1069;5.85;6520.0;31.5;107.45;8.56;23.0;15.99;57.5;16.29;38.27;3.07;2.48;10.95;119.18;3.403;0.46;26.05;38.91;16.85;0.171;4.29;0.45;0.94;1031.27;1.838;;;780.8;4340.0;18.78;7.7;39.8;402.87;0.1078;140.8;2.7;7.15;33.9;80.47;3.56;19.47;7.4467;278.81;6.0;5.6;1.7418;7.54;135.9;3.42;16.9;18.4;9.6;30.0;118.0;91.95;25.99;107.49;139.19;26.73;98.25;75.34;93.57;91.58;23.26;138.06
