Date;CAF.PA;CRSU.PA;CRTO.PA;ACA.PA;ALCJ.PA;CROS.PA;SX.PA;ALCYB.PA;CYBBS.PA;CYBBT.PA;ALDLS.PA;MLGEL.PA;DLT.PA;MLDAM.PA;ALDAR.PA;BN.PA;AM.PA;DSY.PA;MLDTB.PA;ALDBT.PA;DBV.PA;DEDAL.PA;ALDEI.PA;ALDEL.PA;ALDR.PA;ALDBS.PA;ALDSJ.PA;ALDBY.PA;DLTA.PA;DBG.PA;MLDYH.PA;ALDEV.PA;DVT.PA;DGE.PA;DGM.PA;ALDIE.PA;DIG.PA;ALDNX.PA;DPAM.PA;ALDNE.PA;ALDRV.PA;DRVBS.PA;MLDYN.PA;MLDYX.PA;MLEAS.PA;ALEZV.PA;MLEDR.PA;MLEAV.PA;ECASA.PA;MLECO.PA;ALESA.PA;EDEN.PA;EDF.PA;ALEAC.PA;MLEDS.PA;MLEDU.PA;MLEES.PA;GID.PA;FGR.PA;EKI.PA;ELEC.PA;EEM.PA;ELIOR.PA;ELIS.PA;ALEBS.PA;ALEMV.PA;ALDUB.PA;ALNN6.PA;ALENE.PA;EPS.PA;ALENT.PA;ALENR.PA;ALTEV.PA;ALEO2.PA;EOSI.PA;ERA.PA;ERYP.PA;ESI.PA;ALESK.PA;EL.PA;ES.PA;EFI.PA;ALEUA.PA;RF.PA;EUR.PA;ALERS.PA;ALECR.PA;ERF.PA;ALGEM.PA;MLERO.PA;EMG.PA;ECP.PA;EUCAR.PA;ALEUP.PA;EURBU.PA;ETL.PA;MLEVE.PA;ALTVO.PA;EXAC.PA;EXE.PA
2019-03-18;93.52;211.98;110.43;10.37;2.15;4.92;4.8909;0.1864;;;16.39;7.95;11.0;1.62;16.3;67.18;1395.94;131.71;1.86;1.054;14.62;0.314;1.742;18.89;1.4025;;;;34.59;3.7774;0.12;67.0;99.05;35.29;1.06;1.1;0.75;5.0;419.27;17.35;0.204;;3.32;3.14;2.96;38.0;132.5;13.95;15.41;1.25;14.0;39.66;12.35;5.001;0.785;8.42;0.2;1.27;84.84;4.65;99.81;2.82;12.7379;14.62;;3.0;5.48;2.55;2.11;11.45;0.965;19.45;61.37;2.6;2.09;50.51;7.91;23.15;67.67;104.69;36.3;0.24;7.2;65.24;2.8699;3.16;6250.0;360.38;34.13;0.7516;6.25;1.01;7.4794;0.041;;15.33;0.0005;20.64;117.28;67.4
2019-03-19;93.52;213.01;111.87;10.58;2.13;4.92;4.8413;0.1762;;;16.39;7.95;11.0;1.62;16.3;66.86;1392.99;129.52;1.86;1.0;14.22;0.318;1.79;18.65;1.3815;;;;34.2;3.758;0.12;67.0;100.24;35.29;1.06;1.06;0.75;4.91;412.36;17.52;0.203;;5.0;3.14;2.96;37.6;132.5;13.95;22.16;1.25;13.8;40.15;12.43;5.001;0.785;8.42;0.2;1.31;85.31;4.62;100.29;2.82;12.7379;14.4;;3.09;5.48;2.5605;2.04;11.45;0.965;19.45;60.38;2.64;2.14;50.51;7.69;23.4;67.97;103.32;37.25;0.24;7.2;65.81;2.8606;3.16;6250.0;362.77;34.33;0.7516;6.25;1.005;7.5385;0.0415;;15.29;0.0005;20.55;117.28;67.8
2019-03-20;93.18;212.92;109.47;10.57;2.39;4.92;4.7619;0.1758;;;16.39;7.95;11.1;1.62;16.3;67.05;1398.89;130.11;1.86;1.002;14.55;0.314;1.77;18.79;1.32;;;;34.79;3.7444;0.12;67.0;101.03;35.29;1.055;1.04;0.75;4.86;412.36;17.72;0.204;;5.0;3.14;2.96;37.4;132.5;13.95;20.68;1.25;13.8;40.32;12.31;5.001;0.785;8.42;0.2;1.34;84.92;4.545;100.77;2.82;13.0004;14.44;;2.93;5.56;2.5605;2.02;11.05;0.98;19.45;60.97;2.65;2.11;50.31;7.78;23.05;68.66;103.42;36.85;0.24;7.2;65.86;2.8606;3.21;6250.0;367.33;34.53;0.7516;6.25;1.01;7.5582;0.0413;;15.58;0.0005;20.55;113.37;67.6
2019-03-21;93.52;208.3;109.92;10.32;2.35;4.92;4.9603;0.1666;;;16.64;7.95;11.1;1.62;16.3;67.35;1391.02;130.26;1.86;1.004;14.21;0.312;1.768;18.75;1.308;;;;34.4;3.7153;0.12;67.0;100.44;35.31;1.035;1.01;0.76;4.86;417.54;17.95;0.202;;5.0;3.14;2.96;37.6;132.5;13.95;19.69;1.25;13.8;39.95;12.15;5.001;0.785;8.42;0.2;1.275;84.23;4.38;100.77;2.82;12.2517;14.3;;3.08;5.4;2.5205;1.86;11.1;0.975;19.45;61.57;2.6;2.1;51.69;7.68;23.5;69.26;98.66;34.55;0.24;7.2;65.24;2.8606;3.18;6550.0;358.99;33.94;0.7516;6.25;1.03;7.5336;0.0413;;15.33;0.0005;20.64;116.3;67.2
2019-03-22;93.52;212.92;108.95;10.28;2.24;4.92;4.8611;0.162;;;16.79;7.95;10.9;1.62;16.3;67.56;1365.46;130.76;1.86;1.064;13.98;0.307;1.68;18.75;1.275;;;;35.38;3.7018;0.12;67.0;95.19;35.31;1.01;1.03;0.76;4.86;417.54;17.95;0.201;;5.0;3.14;2.96;36.6;132.5;13.95;19.6;1.25;13.75;40.73;12.28;5.001;0.474;8.42;0.2;1.23;84.82;4.335;100.29;2.82;11.7266;14.63;;3.08;5.48;2.55;1.86;11.1;0.975;19.45;62.36;2.62;2.085;51.94;7.55;23.4;69.16;96.57;34.0;0.24;7.2;65.62;2.8324;3.28;6650.0;364.55;34.13;0.7516;6.3;1.015;7.4991;0.0413;;15.35;0.0005;20.83;109.46;66.8
2019-03-25;96.4;204.49;110.89;9.77;2.02;4.08;4.8214;0.1576;;;16.1;7.95;10.9;1.62;16.3;64.82;1301.56;127.97;1.86;1.028;13.41;0.303;1.61;18.51;1.3185;;;;35.38;3.508;0.12;67.0;95.68;35.36;1.02;1.04;0.76;4.76;412.36;17.85;0.204;;4.94;3.14;2.96;37.2;132.5;13.95;20.29;1.25;13.35;39.56;12.09;5.001;0.57;8.42;0.2;1.195;82.77;4.18;99.34;2.82;11.96;13.85;;2.88;5.42;2.45;1.64;10.8;1.0;19.45;61.37;2.62;1.986;47.76;7.05;23.0;69.46;95.21;33.0;0.24;7.2;63.81;2.7574;3.2;6650.0;353.43;33.94;0.7516;6.35;1.0;7.3415;0.0413;;14.89;0.0005;20.55;109.46;66.0
2019-03-26;98.92;211.88;110.89;9.82;1.94;4.08;4.7619;0.141;;;16.39;7.95;11.1;1.62;16.3;65.18;1315.33;128.67;1.86;1.02;13.0;0.314;1.582;18.51;1.281;;;;34.79;3.5021;0.12;67.0;95.88;35.39;1.04;1.05;0.825;4.77;412.36;17.81;0.203;;4.94;3.14;2.96;37.0;132.5;13.95;20.97;1.25;13.3;39.49;11.91;5.001;0.57;8.42;0.2;1.17;82.35;4.29;99.81;2.82;11.96;13.83;;2.99;5.44;2.35;1.79;10.95;0.995;19.45;62.56;2.6;1.856;46.83;6.935;22.75;69.06;95.47;33.2;0.24;7.2;63.33;2.823;3.2;6650.0;346.68;33.94;0.7516;6.35;1.005;7.4646;0.0413;;14.52;0.0005;21.22;107.5;65.4
2019-03-27;96.4;211.88;109.16;9.9;2.06;4.48;4.6825;0.14;;;16.54;7.95;11.0;1.62;15.8;65.82;1315.33;132.1;1.86;1.004;13.5;0.31;1.61;18.51;1.305;;;;35.18;3.539;0.12;67.0;98.06;35.89;0.998;1.06;0.85;4.88;412.36;17.85;0.201;;4.94;3.14;2.96;37.2;132.5;13.95;20.68;1.25;13.65;39.91;11.81;5.001;0.57;8.42;0.2;1.205;82.85;4.6;99.81;2.82;12.08;13.76;;3.02;5.8;2.3505;1.78;11.0;0.995;19.45;63.15;2.64;1.856;46.89;6.96;22.95;67.87;97.14;34.35;0.24;7.2;64.05;2.8418;3.19;6650.0;359.59;33.94;0.7516;6.35;0.98;7.3661;0.0413;;14.61;0.0005;21.99;109.46;65.4
2019-03-28;96.12;206.61;107.98;10.1;1.96;4.48;4.5734;0.1356;;;16.49;7.95;11.0;1.62;15.8;65.75;1292.72;128.27;1.86;1.004;13.19;0.313;1.59;18.84;1.347;;;;34.0;3.4595;0.12;67.0;97.07;36.06;1.035;1.12;0.85;4.8;414.09;17.6;0.205;;4.94;3.14;2.96;37.4;132.5;13.95;19.79;1.25;13.35;39.38;11.96;5.001;0.57;8.42;0.2;1.15;83.22;4.135;100.29;2.82;12.09;13.76;;3.07;5.46;2.4;1.88;10.65;0.81;19.45;62.16;2.64;1.868;47.09;7.19;22.95;67.77;96.02;33.4;0.195;7.2;63.86;2.823;3.15;6650.0;355.42;33.94;0.6263;6.35;0.95;7.1101;0.0413;;14.59;0.0005;22.47;107.5;65.2
2019-03-29;95.93;197.94;109.01;10.1;1.9;4.48;4.4544;0.141;;;16.25;7.95;11.0;1.62;15.8;66.41;1289.77;131.01;1.86;1.0;13.09;0.313;1.524;18.89;1.3335;;;;34.0;3.4886;0.12;67.0;96.18;35.2;0.98;1.08;0.85;4.75;414.09;17.25;0.208;;4.94;3.14;2.96;37.8;132.5;13.95;20.19;1.25;13.6;39.48;11.75;5.001;0.57;8.42;0.2;1.12;82.75;4.235;99.81;2.82;12.0;13.81;;3.02;5.46;2.2405;1.84;10.85;0.795;19.45;62.36;2.64;1.85;48.63;6.905;22.8;67.47;95.33;33.85;0.195;7.2;63.81;2.8418;3.15;6650.0;358.0;33.74;0.6263;6.35;0.98;6.9919;0.0413;;14.41;0.0005;22.28;109.46;65.6
2019-04-01;94.57;204.49;107.26;10.26;1.875;4.48;4.9405;0.153;;;16.64;7.95;11.1;1.62;15.9;67.41;1310.41;131.81;1.86;1.036;13.57;0.313;1.38;18.89;1.323;;;;34.0;3.5176;0.12;67.0;98.75;35.9;0.96;1.1;0.93;4.8;414.09;17.5;0.214;;4.94;3.14;2.96;39.2;132.5;13.95;22.45;1.25;13.8;40.04;11.95;4.98;0.57;8.42;0.2;1.15;83.75;4.245;98.86;2.82;11.93;14.12;;3.06;5.48;2.25;1.72;10.64;0.795;19.45;62.36;2.64;1.762;49.97;7.27;22.4;67.87;96.06;33.9;0.196;7.2;64.14;2.8606;3.2;6650.0;367.73;34.13;0.6263;6.35;1.01;7.0904;0.0413;;14.43;0.0005;22.28;109.46;65.6
2019-04-02;98.32;206.61;108.48;10.35;1.9;4.48;5.1389;0.1424;;;16.74;7.95;11.25;1.62;15.8;66.65;1333.02;133.0;1.86;1.01;13.33;0.31;1.39;18.75;1.3035;;;;34.4;3.5894;0.12;67.0;97.07;35.67;0.92;1.08;0.93;4.79;414.09;18.2;0.211;;4.94;3.14;2.96;39.0;128.85;13.95;23.14;1.25;13.7;40.22;11.94;4.98;0.57;8.42;0.2;1.13;84.82;4.305;99.34;2.82;12.4;14.34;;3.05;5.44;2.29;1.75;10.5;0.705;19.45;62.36;2.6;1.766;52.62;7.38;22.1;68.46;95.74;34.4;0.196;7.2;64.29;2.8606;3.22;6650.0;367.13;33.74;0.6263;6.35;0.96;7.1101;0.0413;;14.41;0.0005;22.19;109.46;65.6
