Date;EPCP.PA;EXPL.PA;ALFBA.PA;EO.PA;FAUV.PA;FAYE.PA;MLFDV.PA;FDJ.PA;FCMC.PA;FALG.PA;FFP.PA;SACI.PA;ORIA.PA;FGA.PA;ALFIL.PA;BERR.PA;EBPF.PA;FOAF.PA;FINM.PA;ODET.PA;FNTS.PA;MLFXO.PA;FIPP.PA;MLFIR.PA;FLE.PA;FLEBS.PA;FNAC.PA;ALFOC.PA;FATBS.PA;FPN.PA;LEBL.PA;FATL.PA;EURS.PA;INEA.PA;FLY.PA;MLVIN.PA;SPEL.PA;FORE.PA;ALFPC.PA;LFDE.PA;MLFSG.PA;MLFTI.PA;ALFRE.PA;FREY.PA;FTRN.PA;MLGAI.PA;MLGAL.PA;GALIM.PA;ALBI.PA;GAM.PA;ALGAU.PA;GAUBS.PA;GEA.PA;GECP.PA;GECBT.PA;GFC.PA;GNE.PA;GENX.PA;GNRO.PA;GNFT.PA;GV.PA;ALGEN.PA;SIGHT.PA;MLGEQ.PA;ALGEV.PA;GLO.PA;ALGBE.PA;ALGEP.PA;ALGLD.PA;MLGML.PA;GPE.PA;ALPAR.PA;GRVO.PA;MLCMG.PA;MLGES.PA;MLGRC.PA;CEN.PA;FLO.PA;GOE.PA;ALGIL.PA;IRD.PA;GJAJ.PA;ALLDL.PA;OPN.PA;PARP.PA;MLPVG.PA;SFPI.PA;ALGTR.PA;ALIMO.PA;GTBP.PA;GTT.PA;MLGDI.PA;GBT.PA;GUI.PA;ALHEO.PA;ALHVS.PA;PIG.PA;MLAHC.PA;ALHRG.PA;RMS.PA
2019-03-18;832.33;835.5;0.3;38.58;31.8;35.0;3.98;;1482.25;2.92;94.8;27.3;175.21;12.6;7.0;5.45;137.0;4.02;0.276;823.04;39.69;4.7;0.3;6.6;39.22;;72.25;23.67;;0.031;1.94;110.35;29.13;37.29;62.57;1.38;4.5;750.0;94.93;15.1;0.011;0.055;2.0;27.7;1.115;79.0;0.4;22.35;3.94;120.02;0.22;;84.91;0.126;;127.0;7.52;4.05;4.32;22.9;0.33;2.39;2.23;0.01;185.26;19.22;5.28;2.0926;1.0802;1.95;14.84;5.04;49.78;1.08;3.98;17.0;52.03;0.234;11.03;19.56;25.27;1.38;6.56;16.69;18.25;0.01;2.1307;;0.06;1.03;80.02;2.48;48.66;2.7257;0.6;83.41;7.0736;2.7;23.88;580.49
2019-03-19;832.33;835.5;0.3;38.72;31.8;35.0;3.98;;1482.25;2.98;94.99;27.3;175.21;12.52;7.0;5.45;137.0;4.02;0.204;811.05;39.32;4.7;0.3;6.6;39.22;;70.6;23.38;;0.0308;1.94;110.35;28.27;37.48;62.96;1.38;4.5;750.0;95.72;14.8;0.011;0.06;2.0;27.7;1.13;79.0;0.4;22.35;3.71;126.47;0.222;;86.09;0.1245;;126.81;7.39;4.12;4.33;22.94;0.317;2.38;2.19;0.01;184.27;18.95;5.32;2.0741;1.0802;1.95;14.79;5.12;51.11;1.08;4.26;17.0;52.32;0.231;14.72;20.92;25.27;1.38;6.41;16.88;18.4;0.01;2.072;;0.06;1.03;80.74;2.48;48.95;2.6683;0.6;83.41;7.2482;2.7;23.88;580.09
2019-03-20;832.33;835.5;0.3;40.2;31.8;35.0;3.98;;1482.25;3.0;96.17;27.3;175.21;12.62;7.0;5.45;137.0;4.02;0.204;833.02;39.32;4.7;0.3;6.6;39.51;;70.8;23.38;;0.03;1.94;110.35;28.27;37.76;63.15;1.38;4.5;750.0;96.7;14.75;0.011;0.05;2.0;27.89;1.13;79.0;0.53;22.35;3.71;126.96;0.23;;85.11;0.123;;127.96;7.53;4.15;4.33;23.06;0.3185;2.38;2.11;0.01;179.31;19.03;5.2;2.0926;1.0802;1.95;14.79;5.14;48.89;1.08;4.26;17.0;52.91;0.2285;12.66;21.02;25.27;1.38;6.3;16.98;18.25;0.01;2.0818;;0.06;1.03;80.7;2.48;49.0;3.1465;0.6;83.9;7.4423;3.7;24.07;584.46
2019-03-21;832.33;835.5;0.26;37.79;31.8;35.0;3.98;;1482.25;3.01;94.89;27.3;175.21;12.64;7.0;5.45;137.0;4.02;0.204;835.02;39.32;4.7;0.3;6.6;39.41;;69.1;23.67;;0.03;1.43;110.35;28.27;37.81;62.38;1.38;4.5;750.0;97.1;14.9;0.011;0.055;2.0;27.89;1.14;79.0;0.53;22.35;3.85;124.48;0.2935;;85.11;0.121;;126.62;7.58;4.17;4.32;23.14;0.32;2.37;2.09;0.01;179.31;19.08;5.2;2.0741;1.1174;1.76;14.54;4.99;47.56;1.08;4.26;17.0;53.4;0.234;12.36;20.77;25.27;1.38;6.32;16.98;18.35;0.01;2.2284;;0.06;1.03;79.83;2.48;48.95;3.3473;0.6;83.41;7.3355;4.0;24.07;590.22
2019-03-22;832.33;835.5;0.299;38.0;31.8;35.0;3.98;;1482.25;2.95;94.01;27.3;177.19;12.7;6.25;5.45;137.0;4.02;0.204;841.01;39.32;4.7;0.3;6.6;39.02;;68.5;23.58;;0.0306;1.43;113.18;28.27;37.62;62.38;1.38;4.48;750.0;95.72;14.9;0.011;0.0515;1.98;27.89;1.13;70.0;0.53;22.35;3.8;122.0;0.2725;;85.11;0.1205;;127.58;7.58;4.15;4.32;23.12;0.312;2.36;2.06;0.01;177.33;19.3;5.2;2.0185;1.1174;1.67;14.64;4.99;45.78;1.08;4.26;17.0;55.07;0.2275;12.46;19.95;25.27;1.38;6.45;16.98;18.4;0.01;2.3457;;0.06;1.03;79.11;2.48;49.05;3.2134;0.6;83.9;7.2967;3.24;24.07;591.01
2019-03-25;832.33;835.5;0.3;36.01;31.8;35.0;3.98;;1482.25;2.96;90.98;27.3;176.2;12.04;6.9;5.45;92.0;4.02;0.204;817.04;38.58;4.7;0.276;6.6;39.02;;66.45;23.38;;0.0304;1.88;120.73;28.27;37.52;61.81;1.38;4.48;750.0;93.94;15.0;0.011;0.0515;2.04;27.89;1.125;70.0;0.5;22.35;3.52;122.0;0.271;;83.16;0.119;;125.75;7.58;4.05;4.25;22.04;0.293;2.37;1.98;0.01;178.32;18.46;5.2;1.9167;1.0802;1.67;14.59;4.99;46.67;1.08;4.26;17.0;54.48;0.225;12.3;19.56;26.24;1.38;6.27;16.39;18.2;0.01;2.2382;;0.094;1.03;77.33;2.48;48.17;3.2326;0.6;83.41;7.19;3.24;23.49;566.59
2019-03-26;832.33;835.5;0.3;36.18;31.8;35.0;3.98;;1482.25;2.9;89.81;27.3;176.2;11.8;6.95;5.45;92.0;4.02;0.204;835.02;37.85;4.7;0.299;6.6;39.02;;65.85;23.1;;0.0304;1.88;118.84;28.44;37.24;61.81;1.38;4.48;750.0;94.53;15.1;0.011;0.0515;2.02;28.07;1.135;70.0;0.5;22.35;3.81;118.53;0.2805;;82.77;0.116;;125.36;7.61;4.07;4.39;21.36;0.295;2.37;1.96;0.01;178.32;18.75;5.13;1.9352;1.0802;1.28;14.59;4.99;47.11;1.08;4.26;17.0;54.58;0.2295;12.28;19.52;26.24;1.38;6.14;16.41;18.1;0.01;2.2382;;0.09;1.03;76.85;2.48;48.46;3.1943;0.6;84.38;7.1318;2.7;23.49;588.63
2019-03-27;832.33;835.5;0.3;36.55;31.8;35.0;3.98;;1482.25;2.85;90.98;27.3;176.2;12.4;6.95;5.45;92.0;4.02;0.204;841.01;37.85;4.7;0.295;6.6;39.02;;65.9;23.1;;0.0302;1.88;117.9;28.27;36.95;61.81;1.38;4.5;750.0;93.74;15.15;0.011;0.0515;2.0;27.7;1.115;70.0;0.5;22.35;3.72;119.03;0.27;;84.13;0.114;;126.13;7.49;4.08;4.33;19.02;0.29;2.38;1.82;0.01;178.32;19.05;5.23;1.9815;1.0802;1.4;14.69;4.99;46.4;1.08;4.26;17.0;55.96;0.225;12.66;19.37;26.44;1.38;6.1;16.49;18.25;0.01;2.2089;;0.09;1.03;78.63;2.48;49.25;3.2039;0.6;84.38;7.1415;2.62;23.49;587.63
2019-03-28;832.33;835.5;0.3;35.7;31.8;35.0;3.98;;1482.25;2.8;91.18;27.3;176.2;12.5;6.95;5.45;93.5;4.02;0.204;835.02;37.48;4.7;0.293;6.6;39.22;;68.7;23.1;;0.0302;1.71;118.84;28.27;37.52;63.34;1.38;4.5;750.0;92.56;15.5;0.011;0.0515;2.0;27.89;1.125;70.0;0.5;22.35;3.83;121.01;0.2605;;83.35;0.1135;;124.88;7.59;4.14;4.31;20.04;0.296;2.38;1.92;0.01;178.32;19.05;5.08;1.9537;1.0802;1.85;14.64;4.99;47.2;1.08;4.26;17.0;56.94;0.226;12.44;19.06;26.24;1.38;6.09;16.39;18.4;0.01;2.2186;;0.09;1.03;76.85;2.48;53.08;3.3186;0.6;83.9;7.1997;3.06;23.39;583.66
2019-03-29;832.33;835.5;0.3;36.08;31.8;35.0;3.98;;1482.25;2.79;90.98;27.3;176.2;12.4;6.95;5.4;93.5;4.02;0.204;837.02;36.74;4.7;0.281;6.6;39.31;;66.8;22.9;;0.0308;1.71;117.9;28.27;37.52;63.34;1.38;4.5;750.0;93.74;15.95;0.011;0.0595;2.0;27.89;1.13;70.0;0.5;22.35;3.74;121.01;0.2545;;85.7;0.112;;125.46;7.57;4.1;4.29;21.46;0.287;2.34;1.87;0.01;179.31;19.14;5.1;1.9815;1.0802;1.85;14.54;4.93;47.4;1.08;4.26;17.0;60.19;0.2225;12.85;19.2;26.24;1.38;6.04;15.42;18.55;0.01;2.2089;;0.09;1.03;76.85;2.48;52.39;3.3951;0.6;83.41;7.1415;3.06;23.1;589.62
