Date;HEXA.PA;HF.PA;HCO.PA;ALHIO.PA;HIPAY.PA;ALHIT.PA;MLHK.PA;MLHBB.PA;ALHGR.PA;MLHCF.PA;MLHPE.PA;HOP.PA;ALHSW.PA;MLHMC.PA;MLHOT.PA;HDP.PA;MLHIN.PA;HSB.PA;ALHYG.PA;MLHYD.PA;MLHYE.PA;ALICR.PA;ALI2S.PA;ICAD.PA;IDL.PA;IDIP.PA;MLIDS.PA;ALIDS.PA;IFF.PA;IGE.PA;ILD.PA;MLIML.PA;NK.PA;MLIPP.PA;ALIMR.PA;IMDA.PA;ALIMP.PA;MLIMP.PA;INFE.PA;MLIFC.PA;INF.PA;ING.PA;IPH.PA;INN.PA;MLIDP.PA;STAL.PA;ALINT.PA;ITP.PA;ITXT.PA;ALINS.PA;IVA.PA;ALINV.PA;MLIOC.PA;MLIPO.PA;IPN.PA;IPS.PA;ITL.PA;MLITN.PA;ITE.PA;ITS.PA;ALIVA.PA;JBOG.PA;JCQ.PA;DEC.PA;MLJSA.PA;ALKAL.PA;KOF.PA;KER.PA;ALKLK.PA;KEY.PA;LI.PA;ALSIM.PA;KORI.PA;MLKRI.PA;MLVAP.PA;OR.PA;LFVE.PA;ALPER.PA;LACR.PA;LHN.PA;LAF.PA;MMB.PA;ALLAN.PA;LAT.PA;LPE.PA;LOUP.PA;ALTAN.PA;LBON.PA;LSS.PA;LR.PA;ALLHB.PA;LNC.PA;ALLEX.PA;LIN.PA;FII.PA;ALLLN.PA;LNA.PA;MLLOI.PA;ALLOG.PA;MLLOG.PA
2019-03-18;37.7;6.46;4.94;3.9563;8.3;13.7;150.0;14.0;;10.2;2.2;6.8976;0.875;4081.66;32.17;2.7;149.0;6.74;0.14;505.0;59.0;3.84;3.64;70.95;146.6;43.32;0.5866;59.82;103.73;149.11;90.47;0.171;46.74;35.6;3.08;68.01;4.8;11.83;54.34;2.2;37.58;62.39;6.62;5.1153;;318.15;1.22;42.07;2.5;0.264;3.8;5.15;0.25;;124.62;23.15;8.82;3.94;3.1;4.63;;7.33;15.84;26.32;0.242;16.7;31.34;488.39;2.59;4.77;28.6;1.95;36.1;1.5;;231.48;54.5;;20.85;41.17;22.0;22.87;27.2;3.245;91.43;108.91;2.02;127.64;22.38;59.02;65.28;33.42;0.87;28.13;27.99;1.21;46.35;3.25;0.664;
2019-03-19;37.8;6.46;5.0853;3.9949;8.2;13.7;150.0;14.0;;10.2;2.2;6.8029;0.855;4081.66;32.17;2.7;149.0;6.75;0.1444;505.0;59.0;3.88;3.64;71.38;148.8;43.13;0.5866;60.31;103.73;143.66;91.16;0.171;47.0;35.6;3.08;67.62;6.16;11.83;54.34;2.2;37.44;61.88;6.705;5.1153;;318.15;1.225;41.31;2.5;0.256;3.7;5.5;0.25;;123.38;22.88;9.24;3.94;3.06;4.64;;7.51;14.96;25.95;0.242;16.6;31.03;488.49;2.51;4.89;28.84;1.95;36.06;1.5;;230.99;54.5;;20.85;41.21;22.0;22.53;27.8;3.2;91.03;109.4;2.02;127.15;22.57;58.53;64.78;34.55;0.82;27.56;26.41;1.21;46.4;3.25;0.664;
2019-03-20;37.3;6.44;5.0756;4.0142;8.1;14.35;150.0;14.0;;10.2;2.2;6.8218;0.85;4081.66;32.17;2.7;149.0;6.76;0.1396;505.0;59.0;3.82;3.4;70.67;151.2;43.32;0.5866;60.81;103.73;149.11;92.45;0.171;47.44;35.6;3.08;67.42;5.64;11.83;56.81;2.2;36.67;63.08;6.95;4.9802;;326.01;1.195;41.71;2.5;0.26;3.5;5.5;0.25;;125.36;22.99;9.18;3.94;3.1;4.57;;7.82;15.09;26.92;0.242;16.43;31.44;502.22;2.55;4.87;28.77;1.95;35.22;1.5;;231.58;54.5;;21.43;41.29;22.0;22.82;27.8;3.235;90.84;107.43;2.08;127.64;21.89;59.03;64.78;37.18;0.828;28.23;26.31;1.21;46.15;3.25;0.664;
2019-03-21;36.2;6.46;5.279;3.9177;7.84;14.07;150.0;14.0;;10.2;2.2;6.8218;0.865;4081.66;32.17;2.7;149.0;6.7;0.142;505.0;59.0;3.84;3.4;70.48;146.2;42.85;0.7029;61.81;103.73;149.11;89.52;0.171;46.96;35.6;3.08;67.03;5.64;11.73;56.81;2.2;36.81;62.49;6.995;4.8837;;326.01;1.175;42.2;2.5;0.263;3.56;5.6;0.25;;121.4;22.38;9.78;3.94;3.1;4.55;;7.82;15.01;26.92;0.242;16.3;31.51;493.39;2.52;4.8;28.49;1.95;34.43;1.5;;231.98;54.5;;21.14;41.08;21.0;22.52;27.8;3.255;90.64;106.94;2.08;127.15;21.99;58.9;66.77;37.09;0.868;28.51;25.62;1.21;45.85;3.25;0.67;
2019-03-22;36.15;6.48;5.124;3.9949;7.9;13.98;150.0;14.0;;10.2;2.2;6.8218;0.865;4081.66;32.17;2.7;149.0;6.76;0.1388;505.0;59.0;3.84;3.4;71.38;145.4;42.94;0.7402;60.31;104.45;144.16;89.08;0.171;45.69;35.6;3.08;65.66;5.4;11.73;56.81;2.2;36.05;63.34;6.65;4.8258;;326.01;1.175;42.47;2.5;0.2555;3.51;5.6;0.25;;121.4;21.97;9.66;3.94;3.1;4.59;;7.74;14.89;26.94;0.242;16.2;31.44;495.16;2.5;4.83;28.66;1.95;34.37;1.5;;233.35;54.5;;21.14;41.11;21.6;21.65;28.4;3.235;90.64;103.98;2.08;127.15;21.59;58.88;66.77;38.96;0.824;28.37;24.83;1.21;45.41;3.25;0.65;
2019-03-25;36.15;6.4;5.0659;3.9949;7.82;13.98;150.0;14.0;;10.2;2.2;7.0113;0.85;4081.66;32.17;2.7;149.0;6.61;0.132;505.0;56.0;3.86;3.48;70.43;141.8;41.5;0.8379;58.32;104.45;149.61;86.48;0.171;42.31;51.5;3.08;66.64;5.36;11.73;56.81;2.2;35.52;61.53;6.2;4.7389;;326.01;1.17;40.86;2.5;0.2555;3.55;5.45;0.398;;118.23;21.45;9.06;3.94;3.1;4.59;;7.86;14.17;26.59;0.242;16.2;31.58;477.99;2.43;4.71;28.34;1.95;34.04;1.5;;230.3;54.5;;20.95;39.45;21.2;21.62;29.0;3.11;91.23;102.99;2.08;126.65;21.2;57.29;66.77;39.43;0.844;28.13;23.11;1.21;44.91;3.25;0.644;
2019-03-26;34.9;6.36;5.1144;3.9756;7.98;13.98;150.0;14.0;;10.2;2.2;6.8029;0.85;4081.66;32.17;2.7;149.0;6.67;0.1332;505.0;59.0;3.88;3.84;69.91;138.0;41.6;0.7821;58.32;104.45;148.12;85.77;0.171;40.91;51.5;3.08;67.42;5.44;11.73;56.81;2.2;35.23;62.2;6.085;4.6907;;326.01;1.16;40.42;2.5;0.24;3.35;5.25;0.398;;116.74;21.28;9.26;3.88;3.04;4.47;;7.67;13.93;25.91;0.242;16.35;31.84;488.29;2.42;4.65;28.36;1.95;34.23;1.5;;231.78;54.5;;20.76;40.14;21.6;21.28;29.6;3.085;90.64;102.5;2.08;126.16;21.2;57.45;66.77;43.0;0.834;27.75;22.67;1.21;44.66;3.25;0.64;
2019-03-27;34.9;6.34;5.095;3.937;7.74;13.98;150.0;14.0;;10.2;2.2;6.8408;0.85;4081.66;32.17;2.7;149.0;6.68;0.1332;510.0;59.0;3.88;3.5;71.05;136.8;41.6;0.7541;58.82;104.45;148.62;88.68;0.171;41.75;51.5;3.08;66.64;5.2;11.73;56.81;2.2;35.14;62.67;6.21;4.6521;;326.01;1.18;41.94;2.5;0.245;3.2;5.2;0.398;;118.62;21.17;9.58;3.88;3.08;4.48;;7.67;13.85;26.3;0.242;16.08;31.99;496.53;2.4;4.71;28.53;1.95;34.39;1.5;;234.63;54.5;;20.76;39.91;21.4;21.4;29.4;3.07;91.03;102.5;2.08;124.69;21.15;57.84;64.78;46.66;0.838;27.32;23.01;1.21;45.61;3.25;0.632;
2019-03-28;34.4;6.46;5.279;3.937;7.72;13.98;150.0;14.0;;10.2;2.2;6.8408;0.85;4081.66;32.17;2.7;149.0;6.72;0.132;510.0;59.0;3.88;3.5;70.48;138.6;41.98;0.7914;59.32;104.45;146.63;87.1;0.171;41.92;51.5;3.08;65.86;5.12;11.73;56.81;2.2;35.09;61.6;6.06;4.6521;;326.01;1.155;41.98;2.5;0.2425;3.17;5.2;0.398;;117.39;21.28;9.34;3.88;3.14;4.49;;7.65;13.93;25.93;1.07;15.9;32.25;492.02;2.4;4.71;29.09;1.95;34.15;1.5;;233.26;54.5;;20.56;40.05;21.0;21.4;29.2;3.03;90.84;102.5;2.08;125.18;21.4;57.72;65.28;46.94;0.83;27.09;23.65;1.21;44.91;3.25;0.65;
2019-03-29;34.0;6.38;5.2015;3.9949;7.2;14.25;150.0;14.0;;10.2;2.2;6.9166;0.84;4081.66;32.17;2.7;149.0;6.65;0.1332;510.0;59.0;3.94;3.5;70.81;140.6;42.27;0.8007;57.82;104.45;146.63;87.59;0.171;40.83;51.5;3.08;68.4;4.96;11.64;56.81;2.2;35.14;62.67;6.125;4.7293;;318.15;1.175;42.87;2.5;0.2475;3.08;5.2;0.398;;119.17;21.2;9.34;4.05;3.14;4.44;;7.65;13.85;26.26;1.28;15.9;33.25;501.04;2.41;4.71;28.82;1.95;35.12;1.5;;235.72;54.5;;20.85;40.37;21.4;21.45;29.0;3.03;92.02;101.52;2.08;125.67;21.54;57.9;65.28;46.1;0.802;26.9;24.93;1.21;45.8;3.25;0.686;
