Date;MLCAC.PA;ALUCI.PA;LBIRD.PA;MLV4S.PA;MC.PA;LYS.PA;MRM.PA;ALMII.PA;MLMAD.PA;ALMNG.PA;MLMGL.PA;MSTY.PA;MLMAB.PA;MLCLI.PA;MLMAI.PA;MDM.PA;MAKBT.PA;ALMAK.PA;MALT.PA;MTU.PA;MAN.PA;MLMAQ.PA;ALMAR.PA;IAM.PA;ALMAS.PA;MKEA.PA;MAU.PA;MBWS.PA;MBWBT.PA;MBWSZ.PA;MCPHY.PA;ALMEC.PA;EDI.PA;MLLAB.PA;ALKER.PA;ALMDT.PA;MDW.PA;MDWBS.PA;ALMED.PA;MEDCL.PA;MLMCE.PA;MEMS.PA;MERY.PA;MRK.PA;MRN.PA;METEX.PA;MLETA.PA;ALMET.PA;ALMTH.PA;MLMIB.PA;MMT.PA;ALMGI.PA;ALMDG.PA;ML.PA;MUN.PA;MLSKN.PA;ALMIC.PA;MLNMA.PA;ALMLB.PA;MLAMY.PA;ALMND.PA;ALMBS.PA;MONC.PA;MLMON.PA;ALMOU.PA;MRB.PA;MLMRE.PA;MLMTD.PA;MLMUL.PA;MLMMC.PA;GREV.PA;ALMBG.PA;NANO.PA;KN.PA;MLNAT.PA;NAVYA.PA;MLNEO.PA;NEOEN.PA;ALNLF.PA;NLFBS.PA;NLFBU.PA;ALNEV.PA;NEVBS.PA;NTG.PA;NRO.PA;MLNEI.PA;NEX.PA;NXI.PA;ALNXT.PA;NEXTS.PA;COX.PA;NOKIA.PA;ALNOV.PA;MLNOV.PA;ALNOX.PA;NR21.PA;NRG.PA;ALNSC.PA;ALNSE.PA;MLOSA.PA
2019-03-18;13.8;1.014;14.5;1.2;311.5;2.36;1.29;5.85;3.6233;0.41;12.9;2.54;112.96;1.92;0.87;19.23;;1.22;619.56;26.58;62.78;;;3.1;0.48;1.85;3.5689;3.245;;;5.0;1.82;11.63;6.0;;1.46;11.55;;2.39;6.35;;1.94;11.55;69.25;27.79;1.404;10.1;4.4771;0.02;6.99;16.1;2.84;45.95;101.84;1.2;;12.0;3.5675;3.03;3.6;1.296;;5526.96;-0.4186;4.9;6.2;;5.88;0.038;0.5;67.62;4.6795;11.83;4.5045;9.92;1.9;3.953;19.48;0.136;;;0.245;;1.2021;20.14;1.59;27.43;41.6;0.732;89.0;6.05;5.327;0.258;6.25;0.855;;7.54;79.87;8.7;6.7902
2019-03-19;13.7;1.018;14.56;1.2;312.63;2.34;1.2992;5.85;3.6233;0.421;14.0;3.46;112.96;1.92;0.87;18.85;;1.22;619.56;25.9;63.36;;;3.08;0.469;1.758;3.6231;3.225;;;5.08;1.895;11.68;4.05;;1.53;11.55;;2.39;6.3;;1.99;11.64;68.76;29.11;1.41;10.1;4.4771;0.02;6.99;16.09;2.84;46.3;101.21;1.19;;11.95;3.5873;2.85;3.6;1.31;;5526.96;-0.4186;4.99;6.2;;5.88;0.038;0.5;67.62;4.6795;11.7;4.6058;9.97;1.89;3.6882;19.54;0.133;;;0.241;;1.1976;20.64;1.59;27.93;41.86;0.734;89.0;6.07;5.2909;0.247;6.25;0.845;;7.54;79.87;8.7;6.7902
2019-03-20;13.8;1.006;14.7;1.5;314.6;2.35;1.3176;5.85;4.3842;0.421;14.0;3.46;112.96;1.92;0.87;18.74;;1.22;619.56;25.66;63.56;;;3.08;0.479;1.79;3.5985;3.285;;;5.01;1.95;11.73;4.05;;1.53;11.6;;2.35;6.25;;2.04;11.68;69.25;29.2;1.486;10.1;4.4771;0.02;6.99;16.15;2.84;46.35;102.18;1.17;;11.9;3.5675;2.95;3.6;1.296;;5278.0;-0.4947;5.0;6.2;;5.88;0.054;0.545;67.62;4.6795;11.69;4.5993;9.97;1.8902;3.9909;19.62;0.128;;;0.241;;1.175;20.64;1.59;28.18;41.92;0.704;88.0;6.02;5.2376;0.246;6.25;0.84;;7.5;79.87;8.7;6.7902
2019-03-21;14.2;1.02;14.72;1.5;314.79;2.35;1.3176;5.751;4.3842;0.421;14.0;2.94;112.96;1.92;0.87;18.4;;1.215;619.56;25.17;63.56;;;3.09;0.449;1.64;3.7365;3.26;;;5.0;1.98;11.78;4.4;;1.515;11.6;;2.38;6.25;;1.985;11.49;68.76;29.25;1.532;10.1;4.4771;0.02;6.99;15.7;2.84;45.6;100.29;1.185;;11.9;3.5873;3.06;3.6;1.31;;5278.0;-0.4947;4.97;6.02;;5.88;0.04;0.545;67.62;4.6795;11.72;4.4866;9.97;1.86;3.9909;19.6;0.14;;;0.24;;1.2021;21.04;1.59;28.31;41.9;0.707;92.0;6.1;5.1824;0.245;6.25;0.875;;7.46;79.87;8.7;6.7902
2019-03-22;14.2;1.0;15.26;1.5;313.96;2.32;1.3176;5.75;4.3842;0.421;14.1;3.46;112.96;1.92;0.87;18.26;;1.215;619.56;24.49;63.17;;;3.09;0.479;1.63;3.7858;3.5;;;5.0;1.94;11.78;5.3;;1.515;11.6;;2.42;6.25;;1.98;11.57;70.7;28.62;1.518;9.1;4.4955;0.02;6.99;15.64;2.84;44.1;101.55;1.17;;11.55;3.5873;2.95;3.6;1.272;;5327.79;-0.4947;4.96;6.0;;5.88;0.049;0.65;67.62;4.6795;11.64;4.4491;9.97;1.832;3.9909;19.48;0.1275;;;0.252;;1.2021;21.54;1.59;28.04;41.92;0.704;93.0;6.06;5.1406;0.257;6.25;0.845;;7.56;79.87;8.8;6.7902
2019-03-25;14.2;1.004;14.7;1.5;305.21;2.26;1.2992;5.7;4.348;0.42;14.8;3.56;112.96;1.92;0.87;17.96;;1.215;619.56;22.65;63.56;;;3.08;0.479;1.6;3.5788;3.415;;;4.87;1.8;11.83;6.35;;1.515;11.1;;2.2;6.25;;1.92;11.5;70.7;27.75;1.45;10.0;4.4955;0.02;6.99;15.52;2.84;43.25;98.84;1.15;;11.2;3.5873;2.9;3.6;1.216;;5377.58;-0.4947;4.86;6.0;;5.88;0.0455;0.7;67.62;4.6795;11.2;4.2801;9.97;1.82;3.9909;19.28;0.1255;;;0.245;;1.1343;21.14;1.59;26.99;40.66;0.68;93.0;5.87;4.9085;0.24;6.25;0.855;;7.48;79.87;8.8;6.7902
2019-03-26;14.2;0.954;14.76;1.5;314.25;2.26;1.2992;5.551;4.348;0.41;14.8;3.56;112.96;1.92;0.87;17.77;;1.215;619.56;22.21;64.14;;;3.08;0.479;1.53;3.4457;3.48;;;4.82;1.8;11.88;6.95;;1.515;11.2;;2.28;6.25;;1.91;11.5;71.18;27.55;1.494;11.0;4.3481;0.02;6.99;15.55;2.84;43.05;99.95;1.155;;11.15;3.6269;2.85;3.6;1.22;;5377.58;-0.4947;4.89;5.9;;5.88;0.0455;0.7;67.62;4.6795;11.43;4.3252;9.97;1.82;3.9909;19.12;0.12;;;0.252;;1.1253;21.14;1.59;26.74;40.47;0.683;93.0;5.805;4.9104;0.24;6.25;0.815;;7.22;79.87;8.8;6.7902
2019-03-27;14.2;0.99;14.76;1.5;317.05;2.31;1.3084;5.5;4.348;0.421;14.8;3.56;112.96;1.92;0.87;17.98;;1.215;619.56;23.67;64.6;;;3.09;0.442;1.54;3.5147;3.11;;;4.855;1.795;11.93;7.0;;1.515;11.3;;2.24;6.25;;1.89;11.54;71.67;28.04;1.45;11.0;4.3297;0.02;6.99;15.43;2.8;43.2;101.06;1.15;;11.15;3.5873;2.9;3.6;1.224;;5377.58;-0.4947;4.93;5.88;;5.88;0.045;0.7;67.62;4.6795;11.06;4.3393;9.97;1.851;3.9909;19.1;0.125;;;0.24;;1.175;21.44;1.59;26.69;40.29;0.768;93.5;5.605;4.8989;0.24;6.25;0.825;;7.36;79.87;8.9;6.7902
2019-03-28;14.2;0.99;14.48;1.5;317.4;2.28;1.3176;5.451;4.348;0.407;14.8;3.56;112.96;1.92;0.87;17.31;;1.215;619.56;23.38;63.6;;;3.09;0.463;1.51;3.4408;3.105;;;4.83;1.79;11.93;7.4;;1.5;11.3;;2.3;6.25;;1.87;11.57;70.21;28.09;1.47;11.0;4.3297;0.02;6.99;15.43;2.8;43.35;101.26;1.14;;11.15;3.5873;2.75;3.6;1.23;;5377.58;-0.4947;4.83;5.88;;5.88;0.055;0.7;67.62;4.6795;10.97;4.4294;9.97;1.81;3.9909;18.7;0.127;;;0.2395;;1.1479;22.94;1.59;26.62;40.29;0.715;94.5;5.5;4.878;0.238;6.25;0.81;;7.3;79.87;8.9;6.7902
2019-03-29;15.5;0.986;14.58;1.7;323.44;2.24;1.3084;5.451;4.348;0.407;14.8;3.56;112.96;1.92;0.87;16.92;;1.215;619.56;24.64;62.8;;;3.05;0.475;1.518;3.4013;3.1;;;4.87;1.79;11.93;7.5;;1.435;11.2;;2.34;6.25;;1.875;11.5;71.18;27.5;1.484;11.0;4.3481;0.02;6.99;15.24;2.5;44.15;101.4;1.145;;11.45;3.6666;2.74;3.6;1.24;;5377.58;-0.4947;4.82;5.88;;5.88;0.055;0.7;62.75;4.6795;10.9;4.4303;9.97;1.795;3.9909;19.0;0.135;;;0.228;;1.1524;22.74;1.59;26.31;39.89;0.718;94.5;5.76;4.8038;0.234;6.25;0.825;;7.2;79.87;8.8;6.7902
