Date;ALWOO.PA;SABE.PA;SAMS.PA;SAN.PA;ALMER.PA;DIM.PA;SAVE.PA;MLSDN.PA;MLSBT.PA;MLSHD.PA;CBSM.PA;MLCMI.PA;SLB.PA;SU.PA;MLSCH.PA;SCR.PA;SCHP.PA;ALSEI.PA;SLCO.PA;SELER.PA;MLSMP.PA;ALSEN.PA;MLSEQ.PA;SEFER.PA;ALSER.PA;SESG.PA;SESL.PA;SRP.PA;ALSIP.PA;ALBFR.PA;GIRO.PA;SII.PA;MLSIL.PA;MLARI.PA;MLMAT.PA;MLSIM.PA;MLSNT.PA;MLSML.PA;SMLBS.PA;SMCP.PA;SMTPC.PA;SFCA.PA;GLE.PA;SW.PA;SOA.PA;SEC.PA;SFBS.PA;SOFR.PA;SOG.PA;SOI.PA;LOCAL.PA;ALS30.PA;SO.PA;SOP.PA;MLSRP.PA;SPIE.PA;ALSGD.PA;ALSPW.PA;SPI.PA;SQI.PA;DPT.PA;MLSTM.PA;STF.PA;STNT.PA;STM.PA;ALSAS.PA;ALSTW.PA;STWDS.PA;MLSTR.PA;MLSUM.PA;SSI.PA;SWP.PA;SDG.PA;TKTT.PA;TAYN.PA;MLTEA.PA;TCH.PA;FTI.PA;TEP.PA;TVRB.PA;MLVST.PA;TES.PA;TFI.PA;TFF.PA;HO.PA;ALTBG.PA;ALTHE.PA;ALTER.PA;ALTHX.PA;THEP.PA;TKO.PA;TIPI.PA;TVLY.PA;ALTLX.PA;MLTBM.PA;EC.PA;TOUP.PA;TOU.PA;EIFF.PA;MLABO.PA
2019-03-18;0.05;21.79;139.58;76.3;20.8;111.63;63.81;16.41;7.9;17.51;6.85;3.24;34.88;68.15;;36.48;29.52;;0.29;84.72;0.81;1.27;0.0145;5.0545;300.62;14.47;27.6;2.94;7.51;57.0;12.4;21.33;0.53;0.775;2.78;0.45;3.3;0.045;;17.21;18.25;1.95;25.03;96.74;15.7;0.965;189.2;1378.0;25.15;70.7;0.4848;11.2;73.3;104.58;4.3;15.88;0.65;0.109;3.45;21.9;0.137;14.0;81.5;;14.44;7.75;9.2;;11.8;0.023;1.074;32.21;26.81;18.06;1.36;319.81;1.222;19.9828;157.75;38.42;;125.0;8.3346;39.86;107.88;0.143;0.77;1.145;5.96;49.32;20.46;76.96;28.58;1.6;1.8;126.1;4.58;0.81;37.36;1.01
2019-03-19;0.05;21.79;139.58;75.82;20.8;111.33;65.58;16.41;7.75;17.51;6.75;3.24;35.44;68.07;;36.47;29.32;;0.29;84.72;0.81;1.19;0.0135;5.0346;300.62;14.57;27.2;2.97;7.51;57.4;12.45;21.33;0.695;0.775;2.78;0.45;3.3;0.049;;16.738;18.84;1.95;25.56;96.82;15.7;0.965;189.2;1378.0;26.12;69.6;0.4788;11.1;74.09;103.11;2.32;15.88;0.662;0.1095;3.18;21.9;0.1315;14.0;83.93;;14.09;7.75;9.05;;11.8;0.023;1.102;32.4;27.78;18.35;1.36;319.81;1.235;20.1691;157.16;39.6;;122.0;8.3298;39.71;107.98;0.14;0.742;1.14;5.651;50.1;20.76;76.96;29.17;1.6;1.8;125.16;4.3;0.83;37.36;1.01
2019-03-20;0.05;21.99;140.56;76.21;21.0;111.72;65.58;16.9;7.75;17.51;6.9;3.24;35.63;68.73;;36.52;29.32;;0.29;85.11;0.81;1.202;0.0135;5.0545;300.62;14.81;26.3;2.925;7.51;58.4;12.6;21.04;0.695;0.775;2.78;0.45;3.3;0.049;;16.114;18.57;1.75;25.5;97.91;15.7;0.965;189.2;1387.64;26.8;70.2;0.4752;11.12;73.7;104.09;2.32;15.73;0.662;0.115;3.44;22.0;0.136;14.0;83.93;;14.19;7.75;9.05;;11.8;0.023;1.074;32.12;27.35;18.71;1.36;319.81;1.18;20.2083;160.32;39.6;;120.5;8.4447;38.24;107.54;0.1406;0.68;1.13;5.651;47.97;20.86;74.03;29.37;1.6;1.8;124.23;4.4;0.85;37.55;1.01
2019-03-21;0.05;21.99;138.59;75.75;21.0;111.72;65.98;16.9;7.75;17.51;6.8;3.24;36.38;67.88;;35.54;29.42;;0.29;84.72;0.81;1.176;0.0125;4.9554;300.62;14.15;26.3;2.855;7.51;58.6;12.8;21.13;0.76;0.775;2.78;0.45;3.3;0.045;;14.99;19.03;1.75;24.72;95.09;15.7;0.965;189.2;1387.64;26.9;70.05;0.4918;11.3;72.71;101.64;2.32;15.6;0.64;0.136;3.45;22.1;0.1315;14.0;82.47;;14.17;7.75;8.95;;11.8;0.023;1.042;31.97;27.3;18.4;1.36;319.81;1.155;20.2966;161.61;39.6;;121.5;8.3011;38.62;105.63;0.146;0.796;1.11;5.795;47.78;20.86;74.52;29.37;1.6;1.8;125.16;4.41;0.875;37.45;1.01
2019-03-22;0.05;21.79;133.68;76.68;20.6;111.63;66.96;16.9;7.75;17.51;6.8;3.24;36.57;68.23;;35.41;29.32;;0.29;85.11;0.81;1.15;0.0125;5.0346;300.62;13.37;25.65;2.83;7.51;58.6;12.8;20.84;0.76;0.775;2.78;0.45;3.3;0.038;;14.77;19.03;1.92;24.42;95.5;15.7;0.965;189.2;1387.64;26.61;72.4;0.481;11.28;74.29;100.65;2.32;15.79;0.624;0.125;3.4;22.15;0.1345;14.0;82.76;;14.79;7.75;8.9;;11.8;0.023;1.03;32.12;26.96;18.65;1.36;319.81;1.159;20.7868;162.89;39.6;;121.5;8.2388;38.82;106.07;0.15;0.776;1.105;5.651;47.29;20.56;73.06;29.37;1.6;1.8;124.7;4.4;0.855;37.36;1.01
2019-03-25;0.05;21.79;131.71;75.14;19.8;109.14;66.77;16.12;7.8;17.51;6.95;3.24;34.97;66.13;;34.7;28.64;;0.29;85.11;0.81;1.15;0.012;4.9752;300.62;13.27;24.75;2.77;7.51;58.6;12.4;20.34;0.76;0.775;2.78;0.45;3.3;0.05;;14.51;18.39;1.92;23.22;93.83;15.7;0.965;189.2;1368.36;24.85;71.6;0.4724;10.98;73.8;96.19;2.32;14.87;0.61;0.1145;3.43;21.5;0.135;14.0;81.31;;14.19;7.75;8.8;;11.8;0.023;1.034;29.66;26.47;17.97;1.36;319.81;1.097;19.7965;158.74;39.6;;121.5;7.9707;38.62;102.89;0.1428;0.708;1.09;5.81;47.29;19.87;74.03;28.39;1.6;1.8;123.76;4.35;0.85;37.45;1.01
2019-03-26;0.05;21.79;132.7;74.63;20.8;109.34;62.24;14.55;7.8;17.51;6.9;3.24;35.16;66.44;;35.23;28.84;;0.29;85.11;0.81;1.16;0.0145;4.9554;300.62;13.38;24.0;2.7;7.51;58.6;12.45;20.24;0.76;7.2;2.78;0.44;3.3;0.05;;14.51;18.21;1.7;23.26;94.03;15.7;0.965;189.2;1378.0;25.24;72.2;0.4692;10.76;74.88;97.22;2.32;14.81;0.584;0.1145;3.42;22.0;0.131;14.0;81.5;;13.86;7.75;8.9;;11.8;0.017;1.022;30.77;25.83;18.01;1.36;319.81;1.071;20.1201;158.15;39.6;;136.0;7.9516;38.62;102.99;0.1368;0.702;1.105;5.602;46.32;19.62;74.03;27.8;1.6;1.8;124.23;4.29;0.835;37.18;1.01
2019-03-27;0.05;21.79;131.71;74.89;20.8;112.62;62.63;14.55;7.8;17.51;6.9;3.24;36.1;66.87;;34.55;28.93;;0.29;85.11;0.81;1.14;0.012;4.9355;300.62;13.19;23.75;2.68;7.51;57.0;12.4;20.44;0.76;7.2;2.78;0.44;3.3;0.045;;15.4;18.39;1.7;23.28;94.59;15.7;0.965;189.2;1378.0;24.85;72.7;0.4792;11.0;76.15;100.36;2.32;15.03;0.572;0.138;3.41;21.6;0.131;14.0;81.7;;14.0;7.27;8.95;;11.8;0.017;1.02;30.58;27.59;18.38;1.36;319.81;1.047;20.2966;159.93;39.41;;130.0;7.8894;37.88;103.72;0.1448;0.718;1.08;5.602;46.52;19.87;74.03;28.58;1.6;1.8;124.23;4.18;0.8;37.45;1.01
2019-03-28;0.05;21.79;131.71;74.88;21.0;110.83;62.24;14.55;7.8;17.51;6.9;3.24;35.44;66.79;;34.4;28.74;;0.29;85.11;0.81;1.15;0.0145;4.9058;300.62;13.28;24.05;2.68;7.51;56.8;12.55;21.53;0.76;4.98;2.78;0.44;3.3;0.045;;15.49;18.21;1.7;23.59;94.61;15.7;0.95;189.2;1387.64;25.05;70.55;0.4988;10.82;76.06;99.18;2.32;14.84;0.596;0.192;3.45;21.1;0.131;14.0;81.7;;13.02;7.27;9.0;;11.7;0.017;1.0;30.67;27.88;19.42;1.36;319.81;1.04;20.0808;156.27;40.19;;129.0;7.741;38.62;102.55;0.1458;0.71;1.14;5.72;48.16;20.36;75.01;29.76;1.6;1.8;121.89;4.22;0.775;37.45;1.01
2019-03-29;0.05;21.79;131.71;75.61;21.0;110.8;62.63;14.55;7.8;17.51;6.9;3.24;36.47;66.93;;34.47;28.25;;0.29;85.11;0.81;1.26;0.0145;4.9058;300.62;13.05;24.25;2.7;7.51;56.6;12.5;21.43;0.76;4.98;2.78;0.44;3.3;0.045;;15.348;18.1;1.8;23.47;94.59;15.7;0.95;189.2;1387.64;24.66;72.0;0.49;10.9;75.76;99.57;2.32;14.93;0.7;0.33;3.21;21.65;0.1345;14.0;81.79;;12.72;5.81;9.0;;11.7;0.017;1.022;30.14;27.49;18.91;1.36;319.81;1.033;20.5613;156.96;40.19;;135.5;7.8463;39.12;103.48;0.1262;0.722;1.16;5.8;48.36;20.56;75.98;29.95;1.6;1.8;123.76;4.2;0.77;37.36;1.01
