Date;MLPSH.PA;MLTRA.PA;TNG.PA;ALTRA.PA;TRI.PA;ALTRI.PA;MLTRO.PA;MLTRC.PA;ALTRO.PA;ALTTI.PA;ALTXC.PA;ALU10.PA;UBI.PA;ALUCR.PA;MLUMG.PA;ALUMS.PA;MLUTP.PA;MLUMH.PA;UNBL.PA;UFF.PA;FPG.PA;ALUNT.PA;ALUPG.PA;ALUVI.PA;ALVAL.PA;FR.PA;VK.PA;VLA.PA;VLAP.PA;MLVAL.PA;ALVEL.PA;ALVU.PA;VIE.PA;VRLA.PA;ALVER.PA;VERBS.PA;VMX.PA;VRNL.PA;MLVER.PA;VETO.PA;ALVIA.PA;VCT.PA;VDLO.PA;VIL.PA;RIN.PA;DG.PA;VIRP.PA;ALVIV.PA;MLVIS.PA;SDT.PA;VMGBW.PA;VMGBX.PA;VMGBS.PA;VMGBU.PA;VMGBV.PA;ALVMG.PA;VMGBT.PA;VIV.PA;ALVGO.PA;VLTSA.PA;VTX.PA;ALVDM.PA;ALLIX.PA;WAVE.PA;ALWEC.PA;MLWEA.PA;ALWEB.PA;ALWED.PA;MF.PA;MLWEY.PA;MLWRC.PA;ALWIT.PA;WLN.PA;XFAB.PA;XIL.PA;XPO.PA;MAGIS.PA;MLZAM.PA;CV.PA
2019-03-18;0.19;2925.09;2.7787;1.06;86.19;4.24;4.48;14.72;10.2;1.45;6.56;1.775;75.18;16.5;7.3;8.0815;;44.0;735.56;19.18;0.55;3.08;5.15;4.0;4.0832;25.9;2.208;3.54;0.0865;14.3;7.66;4.2787;19.13;;0.275;;1.75;2.32;11.0;56.28;19.25;40.42;1.4732;4.663;48.94;83.6;119.8;25.5;1.25;2.3118;;;;;;0.0511;;25.33;7.9;8.74;5.65;123.65;10.0;29.58;11.45;4.74;6.45;24.09;110.41;2.54;;4.64;50.95;4.44;34.5;295.42;0.95;0.553;
2019-03-19;0.19;2925.09;2.847;1.06;82.37;4.24;4.48;14.62;10.2;1.45;6.75;1.775;75.1;16.5;7.3;8.1212;;44.0;735.56;19.63;0.538;3.08;5.1;3.99;4.0733;25.9;2.226;3.475;0.0885;14.3;7.66;4.3693;19.21;;0.2675;;1.68;2.32;10.9;56.68;19.25;41.52;1.4732;4.8625;48.6;83.95;126.0;24.55;1.25;2.1972;;;;;;0.0504;;25.36;7.92;9.12;5.799;123.16;10.25;30.16;11.64;4.74;6.45;23.79;111.29;2.54;;4.48;50.5;4.46;33.65;295.42;0.976;0.5666;
2019-03-20;0.19;2925.09;2.8372;1.06;82.07;4.2;4.48;14.72;10.2;1.45;6.8;1.765;76.82;16.5;7.35;8.1212;;44.0;730.62;19.45;0.538;3.08;5.1;3.99;4.1129;26.61;2.203;3.475;0.084;14.3;7.7;4.3698;19.12;;0.2675;;1.798;2.32;10.6;56.68;19.25;41.49;1.4732;4.9384;47.97;83.29;131.0;25.0;1.78;2.2163;;;;;;0.0499;;25.56;7.78;9.07;5.751;124.14;10.3;30.01;11.84;4.74;6.35;24.39;111.19;2.54;;4.5;51.7;4.67;33.8;289.44;1.16;0.6119;
2019-03-21;0.19;3162.26;2.925;1.06;79.77;4.2;4.48;14.72;10.2;1.45;6.99;1.775;78.48;16.5;7.35;8.0617;;44.0;730.62;19.09;0.538;3.08;5.1;3.96;4.1229;25.89;2.226;3.51;0.0855;14.3;7.7;4.3698;19.12;;0.2755;;1.77;2.32;11.6;57.47;19.25;41.82;1.456;4.9194;47.68;83.19;138.0;25.35;1.74;2.2163;;;;;;0.049;;25.29;7.98;9.12;5.77;124.14;10.1;28.07;11.64;4.74;6.4;24.58;110.22;2.54;;4.75;52.15;4.67;33.25;283.45;1.25;0.6527;
2019-03-22;0.19;3162.26;2.9348;1.06;76.79;4.1;4.48;14.72;10.2;1.45;6.94;1.76;81.72;16.5;7.35;8.0815;;44.0;730.62;19.27;0.59;3.08;5.1;3.96;4.0634;26.03;2.224;3.555;0.0795;14.3;7.72;4.3784;19.31;;0.274;;1.75;1.53;11.6;57.27;19.25;41.62;1.4732;4.7865;48.07;83.58;138.0;24.0;1.74;2.1972;;;;;;0.0497;;25.49;7.94;9.21;5.72;122.67;10.2;27.05;11.93;4.74;6.35;25.57;111.29;2.54;;4.69;53.45;4.68;32.85;283.45;1.54;0.5666;
2019-03-25;0.19;3162.26;2.8714;1.06;73.75;4.06;4.48;14.72;10.2;1.45;6.89;1.765;79.0;16.5;7.35;8.0815;;44.0;730.62;18.64;0.562;3.08;5.05;3.97;4.0237;24.74;2.181;3.46;0.0825;14.3;7.7;4.3689;18.95;;0.2655;;1.72;1.53;11.6;56.08;19.25;41.47;1.4732;4.701;47.04;81.79;135.0;23.0;1.74;2.1972;;;;;;0.049;;24.86;7.98;9.11;5.5;121.7;9.94;26.03;11.74;4.74;6.3;25.18;108.46;2.54;;4.5;51.95;4.6;32.2;283.45;1.52;0.6029;
2019-03-26;0.19;3162.26;2.8275;1.06;70.52;4.04;4.48;14.72;10.2;1.45;6.89;1.78;79.44;16.5;7.35;7.9231;;44.0;730.62;18.46;0.562;3.08;5.05;3.97;4.0634;24.93;2.122;3.41;0.0825;14.3;7.7;4.3698;18.89;;0.272;;1.698;2.0;11.6;57.47;19.25;41.29;1.4732;4.682;47.19;82.3;135.4;22.3;1.74;2.2163;;;;;;0.0485;;25.1;7.86;9.12;5.499;119.74;10.0;25.73;11.93;4.74;6.3;25.47;108.85;2.54;;4.57;51.8;4.28;32.0;283.45;1.5;0.6255;
2019-03-27;0.19;3162.26;2.769;1.09;67.19;4.04;3.64;14.72;10.2;1.45;6.89;1.78;79.36;16.5;7.35;7.7646;;44.2;755.3;18.28;0.562;3.08;5.05;3.96;4.0535;24.92;2.189;3.43;0.075;14.3;7.86;4.3698;18.97;;0.2655;;1.734;2.18;10.8;56.88;19.25;42.01;1.4818;4.682;46.22;83.89;135.0;23.0;1.74;2.2163;;;;;;0.0485;;25.35;8.14;8.98;5.302;116.32;9.82;25.78;11.93;4.74;6.3;26.26;110.32;2.56;;4.45;52.75;4.53;31.85;283.45;1.465;0.6255;
2019-03-28;0.19;3162.26;2.7105;1.09;68.85;4.04;4.4;14.72;10.2;1.45;6.89;1.78;77.9;16.6;7.45;7.6656;;44.2;755.3;18.46;0.542;3.08;5.2;3.96;4.0832;24.65;2.12;3.485;0.076;14.3;7.84;4.3698;19.06;;0.256;;1.752;2.1;11.8;56.68;19.25;41.68;1.4818;4.739;46.12;83.95;136.0;23.0;1.42;2.2163;;;;;;0.048;;25.27;8.52;9.12;5.302;117.3;9.64;25.68;12.13;4.74;5.6;27.15;108.95;2.56;;4.42;52.65;4.5;32.5;279.45;1.33;0.6165;
2019-03-29;0.19;3162.26;2.7202;1.09;69.34;4.04;4.4;15.19;10.2;1.45;6.89;1.76;78.96;16.5;7.45;7.6062;;44.2;755.3;18.1;0.534;3.08;5.45;3.96;4.0832;24.4;2.108;3.48;0.0875;14.3;7.9;4.5327;19.07;;0.2575;;1.758;2.1;11.7;57.07;19.25;41.47;1.4818;4.739;46.7;83.17;144.8;22.7;1.65;2.2163;;;;;;0.0454;;25.29;8.66;9.12;5.301;118.27;9.9;26.71;12.13;4.74;5.2;27.05;109.54;2.56;;4.48;53.25;4.4;35.9;281.45;1.33;0.6165;
